"","site","types","auc_score","n_points"
"290","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"291","WogWay","Eucalyptus viminalis",0.659976414271763,112
"292","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"293","BirdTree","Eucalyptus microcorys",0.49773265697338,27
"294","BirdTree","Eucalyptus pilularis",0.526902290239726,73
"295","BirdTree","Syncarpia glomulifera subsp glabra",0.563827022429435,31
"296","Lorne","Eucalyptus saligna",0.780474853515625,10
"297","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"298","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"299","A-Tree","Non-euc",0.47880135595271,226
"300","Giants","Eucalyptus jacksonii",0.745466825977856,151
"301","Carey","Corymbia calophylla",0.620414733886719,16
"302","Candelo","Eucalyptus obliqua",0.535800621157787,122
"303","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"304","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"305","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"306","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"307","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"308","WogWay","Eucalyptus viminalis",0.659976414271763,112
"309","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"310","A-Tree","Eucalyptus microcorys",0.590853271484375,50
"311","A-Tree","Eucalyptus pilularis",0.485113525390625,160
"312","BirdTree","Syncarpia glomulifera subsp glabra",0.563827022429435,31
"313","Lorne","Eucalyptus saligna",0.780474853515625,10
"314","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"315","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"316","BlackBull","Non-euc",0.556327928299023,211
"317","Giants","Eucalyptus jacksonii",0.745466825977856,151
"318","Carey","Corymbia calophylla",0.620414733886719,16
"319","Candelo","Eucalyptus obliqua",0.535800621157787,122
"320","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"321","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"322","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"323","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"324","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"325","WogWay","Eucalyptus viminalis",0.659976414271763,112
"326","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"327","A-Tree","Eucalyptus microcorys",0.590853271484375,50
"328","BlackBull","Eucalyptus pilularis",0.573665073939732,56
"329","BirdTree","Syncarpia glomulifera subsp glabra",0.563827022429435,31
"330","BlackBull","Eucalyptus saligna",0.681371053059896,12
"331","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"332","BlackBull","Syncarpia glomulifera subsp glomulifera",0.563225848858173,65
"333","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"334","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"335","Bruxner","Non-euc",0.527818530385945,651
"336","Giants","Eucalyptus jacksonii",0.745466825977856,151
"337","Carey","Corymbia calophylla",0.620414733886719,16
"338","Candelo","Eucalyptus obliqua",0.535800621157787,122
"339","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"340","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"341","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"342","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"343","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"344","WogWay","Eucalyptus viminalis",0.659976414271763,112
"345","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"346","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"347","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"348","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"349","BlackBull","Eucalyptus saligna",0.681371053059896,12
"350","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"351","BlackBull","Syncarpia glomulifera subsp glomulifera",0.563225848858173,65
"352","Bruxner","Eucalyptus grandis",0.566436161268626,151
"353","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"354","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"355","Osullivans","Non-euc",0.554888916015625,320
"356","Giants","Eucalyptus jacksonii",0.745466825977856,151
"357","Carey","Corymbia calophylla",0.620414733886719,16
"358","Candelo","Eucalyptus obliqua",0.535800621157787,122
"359","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"360","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"361","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"362","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"363","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"364","WogWay","Eucalyptus viminalis",0.659976414271763,112
"365","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"366","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"367","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"368","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"369","BlackBull","Eucalyptus saligna",0.681371053059896,12
"370","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"371","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"372","Osullivans","Eucalyptus grandis",0.605743128225344,109
"373","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"374","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"375","Herberton","Non-euc",0.617725190662202,42
"376","Giants","Eucalyptus jacksonii",0.745466825977856,151
"377","Carey","Corymbia calophylla",0.620414733886719,16
"378","Candelo","Eucalyptus obliqua",0.535800621157787,122
"379","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"380","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"381","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"382","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"383","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"384","WogWay","Eucalyptus viminalis",0.659976414271763,112
"385","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"386","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"387","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"388","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"389","BlackBull","Eucalyptus saligna",0.681371053059896,12
"390","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"391","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"392","Herberton","Eucalyptus grandis",0.705170931881421,73
"393","Herberton","Corymbia intermedia",0.700198933229608,118
"394","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"395","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"396","Lamb Range","Non-euc",0.536942949946623,161
"397","Giants","Eucalyptus jacksonii",0.745466825977856,151
"398","Carey","Corymbia calophylla",0.620414733886719,16
"399","Candelo","Eucalyptus obliqua",0.535800621157787,122
"400","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"401","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"402","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"403","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"404","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"405","WogWay","Eucalyptus viminalis",0.659976414271763,112
"406","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"407","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"408","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"409","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"410","BlackBull","Eucalyptus saligna",0.681371053059896,12
"411","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"412","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"413","Lamb Range","Eucalyptus grandis",0.519965203253777,91
"414","Herberton","Corymbia intermedia",0.700198933229608,118
"415","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"416","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"417","Baldy","Non-euc",0.648295950382314,94
"418","Giants","Eucalyptus jacksonii",0.745466825977856,151
"419","Carey","Corymbia calophylla",0.620414733886719,16
"420","Candelo","Eucalyptus obliqua",0.535800621157787,122
"421","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"422","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"423","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"424","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"425","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"426","WogWay","Eucalyptus viminalis",0.659976414271763,112
"427","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"428","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"429","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"430","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"431","BlackBull","Eucalyptus saligna",0.681371053059896,12
"432","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"433","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"434","Baldy","Eucalyptus grandis",0.585430908203125,60
"435","Baldy","Corymbia intermedia",0.632500542534722,36
"436","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"437","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"438","Koombooloomba","Non-euc",0.557591643156829,270
"439","Giants","Eucalyptus jacksonii",0.745466825977856,151
"440","Carey","Corymbia calophylla",0.620414733886719,16
"441","Candelo","Eucalyptus obliqua",0.535800621157787,122
"442","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"443","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"444","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"445","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"446","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"447","WogWay","Eucalyptus viminalis",0.659976414271763,112
"448","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"449","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"450","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"451","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"452","BlackBull","Eucalyptus saligna",0.681371053059896,12
"453","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"454","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"455","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"456","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"457","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"458","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"459","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"460","BlackRiver","Non-euc",0.560792631261489,340
"461","Giants","Eucalyptus jacksonii",0.745466825977856,151
"462","Carey","Corymbia calophylla",0.620414733886719,16
"463","BlackRiver","Eucalyptus obliqua",0.550618628933005,146
"464","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"465","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"466","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"467","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"468","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"469","WogWay","Eucalyptus viminalis",0.659976414271763,112
"470","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"471","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"472","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"473","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"474","BlackBull","Eucalyptus saligna",0.681371053059896,12
"475","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"476","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"477","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"478","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"479","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"480","BlackRiver","Eucalyptus ovata",0.600381785425647,58
"481","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"482","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"483","BondTier","Non-euc",0.518811247189051,403
"484","Giants","Eucalyptus jacksonii",0.745466825977856,151
"485","Carey","Corymbia calophylla",0.620414733886719,16
"486","BondTier","Eucalyptus obliqua",0.533736419677734,80
"487","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"488","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"489","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"490","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"491","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"492","WogWay","Eucalyptus viminalis",0.659976414271763,112
"493","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"494","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"495","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"496","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"497","BlackBull","Eucalyptus saligna",0.681371053059896,12
"498","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"499","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"500","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"501","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"502","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"503","BlackRiver","Eucalyptus ovata",0.600381785425647,58
"504","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"505","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"506","Supersite","Non-euc",0.557844253981612,311
"507","Giants","Eucalyptus jacksonii",0.745466825977856,151
"508","Carey","Corymbia calophylla",0.620414733886719,16
"509","Supersite","Eucalyptus obliqua",0.535073707217262,105
"510","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"511","NorthStyx","Eucalyptus delegatensis",0.758183479309082,64
"512","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"513","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"514","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"515","WogWay","Eucalyptus viminalis",0.659976414271763,112
"516","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"517","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"518","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"519","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"520","BlackBull","Eucalyptus saligna",0.681371053059896,12
"521","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"522","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"523","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"524","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"525","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"526","BlackRiver","Eucalyptus ovata",0.600381785425647,58
"527","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"528","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"529","Mackenzie","Non-euc",0.592889878356341,206
