"","site","types","auc_score","n_points"
"621","MtMaurice","Eucalyptus dalrympleana",0.589911566840278,72
"622","MtField","Eucalyptus coccifera",0.740208851207386,55
"623","MtField","Eucalyptus subcrenulata",0.572301561587325,107
"624","MtField","Eucalyptus urnigera",0.612165971235795,33
"625","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"626","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"627","Caveside","Non-euc",0.522212306155434,1264
"628","Giants","Eucalyptus jacksonii",0.745466825977856,151
"629","Carey","Corymbia calophylla",0.620414733886719,16
"630","Caveside","Eucalyptus obliqua",0.535077546772204,76
"631","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"632","Caveside","Eucalyptus delegatensis",0.553046198174505,101
"633","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"634","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"635","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"636","WogWay","Eucalyptus viminalis",0.659976414271763,112
"637","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"638","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"639","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"640","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"641","BlackBull","Eucalyptus saligna",0.681371053059896,12
"642","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"643","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"644","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"645","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"646","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"647","BlackRiver","Eucalyptus ovata",0.600381785425647,58
"648","MtMaurice","Eucalyptus dalrympleana",0.589911566840278,72
"649","MtField","Eucalyptus coccifera",0.740208851207386,55
"650","MtField","Eucalyptus subcrenulata",0.572301561587325,107
"651","MtField","Eucalyptus urnigera",0.612165971235795,33
