"","iter","types","value","split","site"
"82",8,"Eucalyptus diversicolor",0.622320556640625,"test","Frankland"
"83",8,"Eucalyptus guilfoylei",0.723016357421875,"test","Frankland"
"84",8,"Non-euc",0.667193603515625,"test","Frankland"
"85",9,"Eucalyptus diversicolor",0.693865966796875,"test","Frankland"
"86",9,"Eucalyptus guilfoylei",0.8059814453125,"test","Frankland"
"87",9,"Non-euc",0.579296875,"test","Frankland"
"88",10,"Eucalyptus diversicolor",0.599285888671875,"test","Frankland"
"89",10,"Eucalyptus guilfoylei",0.72001953125,"test","Frankland"
"90",10,"Non-euc",0.691217041015625,"test","Frankland"
"91",11,"Eucalyptus diversicolor",0.70546875,"test","Frankland"
"92",11,"Eucalyptus guilfoylei",0.690972900390625,"test","Frankland"
"93",11,"Non-euc",0.611761474609375,"test","Frankland"
"94",12,"Eucalyptus diversicolor",0.706939697265625,"test","Frankland"
"95",12,"Eucalyptus guilfoylei",0.69522705078125,"test","Frankland"
"96",12,"Non-euc",0.601385498046875,"test","Frankland"
"97",13,"Eucalyptus diversicolor",0.533154296875,"test","Frankland"
"98",13,"Eucalyptus guilfoylei",0.748394775390625,"test","Frankland"
"99",13,"Non-euc",0.501373291015625,"test","Frankland"
"100",14,"Eucalyptus diversicolor",0.6941162109375,"test","Frankland"
"101",14,"Eucalyptus guilfoylei",0.741796875,"test","Frankland"
"102",14,"Non-euc",0.640899658203125,"test","Frankland"
"103",15,"Eucalyptus diversicolor",0.617919921875,"test","Frankland"
"104",15,"Eucalyptus guilfoylei",0.725823974609375,"test","Frankland"
"105",15,"Non-euc",0.69249267578125,"test","Frankland"
"106",16,"Eucalyptus diversicolor",0.662493896484375,"test","Frankland"
"107",16,"Eucalyptus guilfoylei",0.62393798828125,"test","Frankland"
"108",16,"Non-euc",0.553411865234375,"test","Frankland"
"109",17,"Eucalyptus diversicolor",0.67818603515625,"test","Frankland"
"110",17,"Eucalyptus guilfoylei",0.72279052734375,"test","Frankland"
"111",17,"Non-euc",0.699505615234375,"test","Frankland"
"112",18,"Eucalyptus diversicolor",0.68538818359375,"test","Frankland"
"113",18,"Eucalyptus guilfoylei",0.64439697265625,"test","Frankland"
"114",18,"Non-euc",0.58116455078125,"test","Frankland"
"115",19,"Eucalyptus diversicolor",0.62703857421875,"test","Frankland"
"116",19,"Eucalyptus guilfoylei",0.5709228515625,"test","Frankland"
"117",19,"Non-euc",0.627239990234375,"test","Frankland"
"118",20,"Eucalyptus diversicolor",0.67677001953125,"test","Frankland"
"119",20,"Eucalyptus guilfoylei",0.66763916015625,"test","Frankland"
"120",20,"Non-euc",0.587384033203125,"test","Frankland"
"121",1,"Eucalyptus diversicolor",0.537003366570724,"train","Collins"
"122",1,"Non-euc",0.518746948242187,"train","Collins"
"123",2,"Eucalyptus diversicolor",0.543822439093339,"train","Collins"
"124",2,"Non-euc",0.540969848632812,"train","Collins"
"125",3,"Eucalyptus diversicolor",0.538686651932566,"train","Collins"
"126",3,"Non-euc",0.454425048828125,"train","Collins"
"127",4,"Eucalyptus diversicolor",0.520827443976151,"train","Collins"
"128",4,"Non-euc",0.456039428710938,"train","Collins"
"129",5,"Eucalyptus diversicolor",0.521307694284539,"train","Collins"
