"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","species_from","species_to","class_from","class_to","sig","region","region2"
"159","Eucalyptus obliqua Suppressed","Eucalyptus fastigata Intermediate",0.0302500059774101,-0.368506763924848,0.429006775879668,0.0227741208812865,0.0377258910735338,"Potential 1","Newline",0.797513539804516,"Eucalyptus obliqua","Eucalyptus fastigata","Suppressed","Intermediate",NA,"SE_NSW","SE_AUS"
"160","Eucalyptus radiata Suppressed","Eucalyptus fastigata Intermediate",0.0576346727650244,-0.535746394683753,0.651015740213802,0.0483419520818824,0.0669273934481664,"Potential 1","Newline",1.18676213489755,"Eucalyptus radiata","Eucalyptus fastigata","Suppressed","Intermediate",NA,"SE_NSW","SE_AUS"
"161","Eucalyptus fastigata Suppressed","Eucalyptus fastigata Suppressed",0.0970990848420071,-0.158905398151221,0.353103567835235,0.0888210252569899,0.105377144427024,"Potential 1","Newline",0.512008965986457,"Eucalyptus fastigata","Eucalyptus fastigata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"162","Eucalyptus obliqua Co/dominant","Eucalyptus fastigata Suppressed",-0.150510470555009,-0.708436021046187,0.407415079936169,-0.162313837949966,-0.138707103160052,"Potential 1","Newline",1.11585110098236,"Eucalyptus obliqua","Eucalyptus fastigata","Co/dominant","Suppressed",NA,"SE_NSW","SE_AUS"
"163","Eucalyptus obliqua Suppressed","Eucalyptus fastigata Suppressed",-0.141634550409846,-0.361571091760902,0.0783019909412093,-0.146846554218163,-0.13642254660153,"Potential 1","Newline",0.439873082702111,"Eucalyptus obliqua","Eucalyptus fastigata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"164","Eucalyptus radiata Suppressed","Eucalyptus fastigata Suppressed",0.088078007681404,-0.219534159520174,0.395690174882982,0.0819712567099189,0.094184758652889,"Potential 1","Newline",0.615224334403156,"Eucalyptus radiata","Eucalyptus fastigata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"165","Eucalyptus obliqua Co/dominant","Eucalyptus obliqua Co/dominant",-1.7607702772106,-3.77643612571523,0.254895571294035,-1.79185017365575,-1.72969038076544,"Potential 1","Newline",4.03133169700926,"Eucalyptus obliqua","Eucalyptus obliqua","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"166","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Co/dominant",-0.0697842366329053,-0.664355681918784,0.524787208652973,-0.0803165524072715,-0.0592519208585391,"Potential 1","Newline",1.18914289057176,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"167","Eucalyptus radiata Suppressed","Eucalyptus obliqua Co/dominant",0.729984390362812,-0.216735026272862,1.67670380699849,0.7137102046749,0.746258576050725,"Potential 1","Newline",1.89343883327135,"Eucalyptus radiata","Eucalyptus obliqua","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"168","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Suppressed",0.14692489800425,-0.122242907272574,0.416092703281074,0.138039311877681,0.155810484130819,"Potential 1","Newline",0.538335610553649,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"169","Eucalyptus radiata Suppressed","Eucalyptus obliqua Suppressed",0.376737521890256,0.0258039440982001,0.727671099682313,0.367934365879039,0.385540677901474,"Potential 1","Newline",0.701867155584113,"Eucalyptus radiata","Eucalyptus obliqua","Suppressed","Suppressed",1,"SE_NSW","SE_AUS"
"170","Eucalyptus radiata Suppressed","Eucalyptus radiata Suppressed",-0.0408381297237735,-0.591405117002296,0.509728857554749,-0.0526658053526051,-0.029010454094942,"Potential 1","Newline",1.10113397455704,"Eucalyptus radiata","Eucalyptus radiata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"171","Eucalyptus cypellocarpa Co/dominant","Eucalyptus cypellocarpa Co/dominant",-9.97164232275252,-16.0779954011889,-3.86528924431613,-10.2783617348673,-9.66492291063775,"Potential 1","WaratahMix",12.2127061568728,"Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","Co/dominant","Co/dominant",1,"SE_NSW","SE_AUS"
"172","Eucalyptus cypellocarpa Suppressed","Eucalyptus cypellocarpa Co/dominant",-0.62558296882407,-1.44250318410229,0.191337246454146,-0.699143072400102,-0.552022865248039,"Potential 1","WaratahMix",1.63384043055643,"Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"173","Eucalyptus fastigata Co/dominant","Eucalyptus cypellocarpa Co/dominant",-4.38331752140772,-6.74952614958071,-2.01710889323472,-4.47438864243821,-4.29224640037723,"Potential 1","WaratahMix",4.73241725634599,"Eucalyptus fastigata","Eucalyptus cypellocarpa","Co/dominant","Co/dominant",1,"SE_NSW","SE_AUS"
"174","Eucalyptus fastigata Suppressed","Eucalyptus cypellocarpa Co/dominant",-0.700740207367513,-1.86253945901894,0.461059044283911,-0.730200546557895,-0.671279868177131,"Potential 1","WaratahMix",2.32359850330285,"Eucalyptus fastigata","Eucalyptus cypellocarpa","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"175","Eucalyptus obliqua Co/dominant","Eucalyptus cypellocarpa Co/dominant",-0.169772655929687,-1.26589967237486,0.926354360515482,-0.220794929884224,-0.118750381975151,"Potential 1","WaratahMix",2.19225403289034,"Eucalyptus obliqua","Eucalyptus cypellocarpa","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"176","Eucalyptus obliqua Suppressed","Eucalyptus cypellocarpa Co/dominant",1.56554981215848,0.258594378966613,2.87250524535034,1.52526389074227,1.60583573357468,"Potential 1","WaratahMix",2.61391086638373,"Eucalyptus obliqua","Eucalyptus cypellocarpa","Suppressed","Co/dominant",1,"SE_NSW","SE_AUS"
"177","Eucalyptus radiata Suppressed","Eucalyptus cypellocarpa Co/dominant",0.333961340162896,-0.0342916081541395,0.702214288479931,0.316927621124858,0.350995059200934,"Potential 1","WaratahMix",0.736505896634071,"Eucalyptus radiata","Eucalyptus cypellocarpa","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"178","Eucalyptus cypellocarpa Suppressed","Eucalyptus cypellocarpa Suppressed",0.147708314758624,-0.170277348993794,0.465693978511042,0.134792466509835,0.160624163007413,"Potential 1","WaratahMix",0.635971327504835,"Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"179","Eucalyptus fastigata Co/dominant","Eucalyptus cypellocarpa Suppressed",-0.387158249856424,-0.773408551348385,-0.000907948364463007,-0.405584963372608,-0.36873153634024,"Potential 1","WaratahMix",0.772500602983922,"Eucalyptus fastigata","Eucalyptus cypellocarpa","Co/dominant","Suppressed",1,"SE_NSW","SE_AUS"
"180","Eucalyptus fastigata Suppressed","Eucalyptus cypellocarpa Suppressed",-0.1093701053407,-0.324705423197603,0.105965212516203,-0.114230202087942,-0.104510008593458,"Potential 1","WaratahMix",0.430670635713806,"Eucalyptus fastigata","Eucalyptus cypellocarpa","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"181","Eucalyptus obliqua Co/dominant","Eucalyptus cypellocarpa Suppressed",0.0270852916970102,-0.299511310886371,0.353681894280392,0.02013722635446,0.0340333570395605,"Potential 1","WaratahMix",0.653193205166763,"Eucalyptus obliqua","Eucalyptus cypellocarpa","Co/dominant","Suppressed",NA,"SE_NSW","SE_AUS"
"182","Eucalyptus obliqua Suppressed","Eucalyptus cypellocarpa Suppressed",0.0279129818764604,-0.210130278989737,0.265956242742658,0.0197786239481985,0.0360473398047224,"Potential 1","WaratahMix",0.476086521732396,"Eucalyptus obliqua","Eucalyptus cypellocarpa","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"183","Eucalyptus radiata Suppressed","Eucalyptus cypellocarpa Suppressed",-0.020497897674692,-0.131396384126934,0.0904005887775501,-0.0250580088483427,-0.0159377865010414,"Potential 1","WaratahMix",0.221796972904484,"Eucalyptus radiata","Eucalyptus cypellocarpa","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"184","Eucalyptus fastigata Co/dominant","Eucalyptus fastigata Co/dominant",-1.51415584094793,-2.93698523484839,-0.0913264470474762,-1.55957711609706,-1.46873456579881,"Potential 1","WaratahMix",2.84565878780091,"Eucalyptus fastigata","Eucalyptus fastigata","Co/dominant","Co/dominant",1,"SE_NSW","SE_AUS"
"185","Eucalyptus fastigata Suppressed","Eucalyptus fastigata Co/dominant",-0.0862776838960768,-0.559375892123579,0.386820524331425,-0.0963390635889368,-0.0762163042032169,"Potential 1","WaratahMix",0.946196416455005,"Eucalyptus fastigata","Eucalyptus fastigata","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"186","Eucalyptus obliqua Co/dominant","Eucalyptus fastigata Co/dominant",-0.0927709617232475,-0.626498715500587,0.440956792054092,-0.107721606524831,-0.077820316921664,"Potential 1","WaratahMix",1.06745550755468,"Eucalyptus obliqua","Eucalyptus fastigata","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"187","Eucalyptus obliqua Suppressed","Eucalyptus fastigata Co/dominant",0.501630939520296,-0.165860084092091,1.16912196313268,0.484535740228278,0.518726138812315,"Potential 1","WaratahMix",1.33498204722478,"Eucalyptus obliqua","Eucalyptus fastigata","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"188","Eucalyptus radiata Suppressed","Eucalyptus fastigata Co/dominant",-0.0470198568089707,-0.303185227161727,0.209145513543785,-0.0548959915565468,-0.0391437220613945,"Potential 1","WaratahMix",0.512330740705512,"Eucalyptus radiata","Eucalyptus fastigata","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"189","Eucalyptus fastigata Suppressed","Eucalyptus fastigata Suppressed",0.0742484655563848,-0.265063075273248,0.413560006386017,0.0670114641154719,0.0814854669972976,"Potential 1","WaratahMix",0.678623081659265,"Eucalyptus fastigata","Eucalyptus fastigata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"190","Eucalyptus obliqua Co/dominant","Eucalyptus fastigata Suppressed",-0.18749131650424,-0.520834296670229,0.145851663661749,-0.193055366052335,-0.181927266956145,"Potential 1","WaratahMix",0.666685960331978,"Eucalyptus obliqua","Eucalyptus fastigata","Co/dominant","Suppressed",NA,"SE_NSW","SE_AUS"
"191","Eucalyptus obliqua Suppressed","Eucalyptus fastigata Suppressed",0.140997269087622,-0.106773929247565,0.388768467422809,0.136476045452112,0.145518492723132,"Potential 1","WaratahMix",0.495542396670375,"Eucalyptus obliqua","Eucalyptus fastigata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"192","Eucalyptus radiata Suppressed","Eucalyptus fastigata Suppressed",0.0469020727820265,-0.0773878731578376,0.171192018721891,0.0435936256120813,0.0502105199519717,"Potential 1","WaratahMix",0.248579891879728,"Eucalyptus radiata","Eucalyptus fastigata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"193","Eucalyptus obliqua Co/dominant","Eucalyptus obliqua Co/dominant",-0.0304117482762152,-0.785989939114779,0.725166442562348,-0.0407529155433028,-0.0200705810091277,"Potential 1","WaratahMix",1.51115638167713,"Eucalyptus obliqua","Eucalyptus obliqua","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"194","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Co/dominant",0.254010008120678,-0.174909473453655,0.682929489695011,0.245074677897254,0.262945338344102,"Potential 1","WaratahMix",0.857838963148665,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"195","Eucalyptus radiata Suppressed","Eucalyptus obliqua Co/dominant",-0.0840295279368589,-0.290558513624011,0.122499457750293,-0.0871926625971449,-0.080866393276573,"Potential 1","WaratahMix",0.413057971374305,"Eucalyptus radiata","Eucalyptus obliqua","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"196","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Suppressed",0.087573170667706,-0.302196585632995,0.477342926968407,0.0794312589468865,0.0957150823885255,"Potential 1","WaratahMix",0.779539512601402,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"197","Eucalyptus radiata Suppressed","Eucalyptus obliqua Suppressed",-0.0999654270632106,-0.226376027850705,0.0264451737242841,-0.103385253075165,-0.0965456010512565,"Potential 1","WaratahMix",0.252821201574989,"Eucalyptus radiata","Eucalyptus obliqua","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"198","Eucalyptus radiata Suppressed","Eucalyptus radiata Suppressed",0.288269255696318,0.154131962701654,0.422406548690983,0.279160470904408,0.297378040488229,"Potential 1","WaratahMix",0.268274585989329,"Eucalyptus radiata","Eucalyptus radiata","Suppressed","Suppressed",1,"SE_NSW","SE_AUS"
"199","Eucalyptus fastigata Co/dominant","Eucalyptus fastigata Co/dominant",-0.814811365205205,-1.65330889099614,0.0236861605857345,-0.831090348393664,-0.798532382016746,"Potential 1","Goodenia",1.67699505158188,"Eucalyptus fastigata","Eucalyptus fastigata","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"200","Eucalyptus fastigata Intermediate","Eucalyptus fastigata Co/dominant",0.54735847627624,-0.0659541586577801,1.16067111121026,0.537740583613747,0.556976368938733,"Potential 1","Goodenia",1.22662526986804,"Eucalyptus fastigata","Eucalyptus fastigata","Intermediate","Co/dominant",NA,"SE_NSW","SE_AUS"
"201","Eucalyptus fastigata Suppressed","Eucalyptus fastigata Co/dominant",-0.281462521049717,-0.662345483083677,0.0994204409842427,-0.288392961703526,-0.274532080395909,"Potential 1","Goodenia",0.76176592406792,"Eucalyptus fastigata","Eucalyptus fastigata","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"202","Eucalyptus sieberi Co/dominant","Eucalyptus fastigata Co/dominant",-0.391825718829928,-0.894532436572225,0.110880998912368,-0.397997935130728,-0.385653502529129,"Potential 1","Goodenia",1.00541343548459,"Eucalyptus sieberi","Eucalyptus fastigata","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"203","Non-euc Suppressed","Eucalyptus fastigata Co/dominant",0.077404401841951,-0.199065242987928,0.35387404667183,0.0723092705820679,0.0824995331018341,"Potential 1","Goodenia",0.552939289659757,"Non-euc","Eucalyptus fastigata","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"204","Eucalyptus fastigata Intermediate","Eucalyptus fastigata Intermediate",0.0674543495914519,-0.440693072724681,0.575601771907584,0.0587599607776814,0.0761487384052223,"Potential 1","Goodenia",1.01629484463226,"Eucalyptus fastigata","Eucalyptus fastigata","Intermediate","Intermediate",NA,"SE_NSW","SE_AUS"
"205","Eucalyptus fastigata Suppressed","Eucalyptus fastigata Intermediate",0.143930770692537,-0.186536846517103,0.474398387902176,0.138506930866564,0.149354610518509,"Potential 1","Goodenia",0.660935234419278,"Eucalyptus fastigata","Eucalyptus fastigata","Suppressed","Intermediate",NA,"SE_NSW","SE_AUS"
"206","Eucalyptus sieberi Co/dominant","Eucalyptus fastigata Intermediate",0.187372138799522,-0.396330578689889,0.771074856288933,0.180821600020289,0.193922677578755,"Potential 1","Goodenia",1.16740543497882,"Eucalyptus sieberi","Eucalyptus fastigata","Co/dominant","Intermediate",NA,"SE_NSW","SE_AUS"
"207","Non-euc Suppressed","Eucalyptus fastigata Intermediate",-0.1945890495134,-0.504779971808004,0.115601872781204,-0.19909815405528,-0.19007994497152,"Potential 1","Goodenia",0.620381844589208,"Non-euc","Eucalyptus fastigata","Suppressed","Intermediate",NA,"SE_NSW","SE_AUS"
"208","Eucalyptus fastigata Suppressed","Eucalyptus fastigata Suppressed",0.145302844164223,-0.141216316622069,0.431822004950515,0.13834215989132,0.152263528437126,"Potential 1","Goodenia",0.573038321572584,"Eucalyptus fastigata","Eucalyptus fastigata","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"209","Eucalyptus sieberi Co/dominant","Eucalyptus fastigata Suppressed",0.120839918917217,-0.229921370371916,0.47160120820635,0.115226632869399,0.126453204965035,"Potential 1","Goodenia",0.701522578578266,"Eucalyptus sieberi","Eucalyptus fastigata","Co/dominant","Suppressed",NA,"SE_NSW","SE_AUS"
"210","Non-euc Suppressed","Eucalyptus fastigata Suppressed",-0.27043310893303,-0.520711855530602,-0.0201543623354581,-0.274590313620955,-0.266275904245105,"Potential 1","Goodenia",0.500557493195144,"Non-euc","Eucalyptus fastigata","Suppressed","Suppressed",1,"SE_NSW","SE_AUS"
"211","Eucalyptus sieberi Co/dominant","Eucalyptus sieberi Co/dominant",0.155299413249093,-0.398938698540959,0.709537525039144,0.146374813317712,0.164224013180473,"Potential 1","Goodenia",1.1084762235801,"Eucalyptus sieberi","Eucalyptus sieberi","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"212","Non-euc Suppressed","Eucalyptus sieberi Co/dominant",0.227521634287788,-0.0874443725137984,0.542487641089375,0.220674166064979,0.234369102510598,"Potential 1","Goodenia",0.629932013603174,"Non-euc","Eucalyptus sieberi","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"213","Non-euc Suppressed","Non-euc Suppressed",0.117141386330887,-0.147740315231493,0.382023087893268,0.110564967374348,0.123717805287426,"Potential 1","Goodenia",0.529763403124761,"Non-euc","Non-euc","Suppressed","Suppressed",NA,"SE_NSW","SE_AUS"
"214","Eucalyptus obliqua Co/dominant","Eucalyptus obliqua Co/dominant",-0.164903826145856,-0.485380348238677,0.155572695946965,-0.171513365136586,-0.158294287155126,"Potential 1","Candelo",0.640953044185641,"Eucalyptus obliqua","Eucalyptus obliqua","Co/dominant","Co/dominant",NA,"SE_NSW","SE_AUS"
"215","Eucalyptus obliqua Intermediate","Eucalyptus obliqua Co/dominant",-0.0488610272909521,-0.311338847202159,0.213616792620255,-0.0527499778604233,-0.0449720767214808,"Potential 1","Candelo",0.524955639822414,"Eucalyptus obliqua","Eucalyptus obliqua","Intermediate","Co/dominant",NA,"SE_NSW","SE_AUS"
"216","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Co/dominant",-0.0877266321576696,-0.25054050190366,0.0750872375883208,-0.0910899630751042,-0.0843633012402351,"Potential 1","Candelo",0.325627739491981,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Co/dominant",NA,"SE_NSW","SE_AUS"
"217","Eucalyptus obliqua Intermediate","Eucalyptus obliqua Intermediate",0.330324171471238,0.115543196682884,0.545105146259593,0.317497947263461,0.343150395679015,"Potential 1","Candelo",0.429561949576709,"Eucalyptus obliqua","Eucalyptus obliqua","Intermediate","Intermediate",1,"SE_NSW","SE_AUS"
"218","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Intermediate",0.0986201707908192,-0.0527840965456554,0.250024438127294,0.0934287572043537,0.103811584377285,"Potential 1","Candelo",0.302808534672949,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Intermediate",NA,"SE_NSW","SE_AUS"
"219","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Suppressed",0.231819725841058,0.0750237149734107,0.388615736708706,0.224412857632429,0.239226594049688,"Potential 1","Candelo",0.313592021735295,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Suppressed",1,"SE_NSW","SE_AUS"
"220","Eucalyptus regnans Co/dominant","Eucalyptus regnans Co/dominant",-0.42193771752341,-0.71048562952906,-0.13338980551776,-0.434795115257996,-0.409080319788824,"Potential 1","ANU101",0.577095824011301,"Eucalyptus regnans","Eucalyptus regnans","Co/dominant","Co/dominant",1,"SE_VIC","SE_AUS"
"221","Eucalyptus regnans Intermediate","Eucalyptus regnans Co/dominant",-0.078371598247226,-0.238998568090393,0.0822553715959407,-0.0830935110047003,-0.0736496854897517,"Potential 1","ANU101",0.321253939686333,"Eucalyptus regnans","Eucalyptus regnans","Intermediate","Co/dominant",NA,"SE_VIC","SE_AUS"
"222","Non-euc Suppressed","Eucalyptus regnans Co/dominant",-0.0735120605089422,-0.192528838426835,0.045504717408951,-0.0776064562513663,-0.0694176647665181,"Potential 1","ANU101",0.238033555835786,"Non-euc","Eucalyptus regnans","Suppressed","Co/dominant",NA,"SE_VIC","SE_AUS"
"223","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",0.0456199000215795,-0.193019273627047,0.284259073670206,0.0397529128689666,0.0514868871741925,"Potential 1","ANU101",0.477278347297252,"Eucalyptus regnans","Eucalyptus regnans","Intermediate","Intermediate",NA,"SE_VIC","SE_AUS"
"224","Non-euc Suppressed","Eucalyptus regnans Intermediate",-0.132601391087767,-0.238558898875694,-0.0266438832998401,-0.135161347501041,-0.130041434674493,"Potential 1","ANU101",0.211915015575854,"Non-euc","Eucalyptus regnans","Suppressed","Intermediate",1,"SE_VIC","SE_AUS"
"225","Non-euc Suppressed","Non-euc Suppressed",0.161518656585015,0.0247561153345818,0.298281197835447,0.153988213754946,0.169049099415083,"Potential 1","ANU101",0.273525082500865,"Non-euc","Non-euc","Suppressed","Suppressed",1,"SE_VIC","SE_AUS"
"226","Eucalyptus regnans Co/dominant","Eucalyptus regnans Co/dominant",-0.648780282090564,-1.02137270087106,-0.276187863310064,-0.659862978015927,-0.637697586165201,"Potential 1","Ada Tree",0.745184837561,"Eucalyptus regnans","Eucalyptus regnans","Co/dominant","Co/dominant",1,"SE_VIC","SE_AUS"
"227","Eucalyptus regnans Intermediate","Eucalyptus regnans Co/dominant",-0.109316857393864,-0.368239726581488,0.149606011793761,-0.115084681312874,-0.103549033474854,"Potential 1","Ada Tree",0.517845738375249,"Eucalyptus regnans","Eucalyptus regnans","Intermediate","Co/dominant",NA,"SE_VIC","SE_AUS"
"228","Eucalyptus regnans Suppressed","Eucalyptus regnans Co/dominant",-0.140633041574636,-0.427784514580676,0.146518431431404,-0.146477117211628,-0.134788965937645,"Potential 1","Ada Tree",0.57430294601208,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Co/dominant",NA,"SE_VIC","SE_AUS"
"229","Non-euc Suppressed","Eucalyptus regnans Co/dominant",0.123789349908245,-0.0199864393307954,0.267565139147286,0.118386071888978,0.129192627927513,"Potential 1","Ada Tree",0.287551578478082,"Non-euc","Eucalyptus regnans","Suppressed","Co/dominant",NA,"SE_VIC","SE_AUS"
"230","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.224639356964741,-0.528116449941955,0.0788377360124734,-0.231216294534023,-0.218062419395458,"Potential 1","Ada Tree",0.606954185954428,"Eucalyptus regnans","Eucalyptus regnans","Intermediate","Intermediate",NA,"SE_VIC","SE_AUS"
"231","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",-0.252643973926914,-0.514993747947681,0.0097058000938533,-0.256999094641463,-0.248288853212364,"Potential 1","Ada Tree",0.524699548041534,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Intermediate",NA,"SE_VIC","SE_AUS"
"232","Non-euc Suppressed","Eucalyptus regnans Intermediate",0.0413015262551229,-0.0795508193631805,0.162153871873426,0.0382994579957099,0.0443035945145358,"Potential 1","Ada Tree",0.241704691236607,"Non-euc","Eucalyptus regnans","Suppressed","Intermediate",NA,"SE_VIC","SE_AUS"
"233","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",-0.25025570204103,-0.69253646212814,0.19202505804608,-0.257307940896652,-0.243203463185408,"Potential 1","Ada Tree",0.884561520174219,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Suppressed",NA,"SE_VIC","SE_AUS"
"234","Non-euc Suppressed","Eucalyptus regnans Suppressed",0.0994784075440593,-0.0473539913937883,0.246310806481907,0.0959656310790759,0.102991184009043,"Potential 1","Ada Tree",0.293664797875695,"Non-euc","Eucalyptus regnans","Suppressed","Suppressed",NA,"SE_VIC","SE_AUS"
"235","Non-euc Suppressed","Non-euc Suppressed",-0.0244847963460003,-0.185740342607428,0.136770749915427,-0.0369021320925791,-0.0120674605994215,"Potential 1","Ada Tree",0.322511092522855,"Non-euc","Non-euc","Suppressed","Suppressed",NA,"SE_VIC","SE_AUS"
"236","Eucalyptus regnans Co/dominant","Eucalyptus regnans Co/dominant",-0.791692330361144,-1.14015280524541,-0.443231855476881,-0.810617121827712,-0.772767538894577,"Potential 1","Weeaproinah",0.696920949768526,"Eucalyptus regnans","Eucalyptus regnans","Co/dominant","Co/dominant",1,"SE_VIC","SE_AUS"
"237","Eucalyptus regnans Intermediate","Eucalyptus regnans Co/dominant",-0.071262760507681,-0.335459476456987,0.192933955441625,-0.0808248622417281,-0.0617006587736339,"Potential 1","Weeaproinah",0.528393431898612,"Eucalyptus regnans","Eucalyptus regnans","Intermediate","Co/dominant",NA,"SE_VIC","SE_AUS"
"238","Eucalyptus regnans Suppressed","Eucalyptus regnans Co/dominant",0.0751802472460787,-0.103472541875209,0.253833036367367,0.0701064540984186,0.0802540403937388,"Potential 1","Weeaproinah",0.357305578242576,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Co/dominant",NA,"SE_VIC","SE_AUS"
"239","Non-euc Suppressed","Eucalyptus regnans Co/dominant",0.0446279310621312,-0.038393772999091,0.127649635123353,0.0410913523323517,0.0481645097919106,"Potential 1","Weeaproinah",0.166043408122444,"Non-euc","Eucalyptus regnans","Suppressed","Co/dominant",NA,"SE_VIC","SE_AUS"
"240","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.441644816936717,-0.842843206088542,-0.040446427784892,-0.453307004616633,-0.429982629256801,"Potential 1","Weeaproinah",0.80239677830365,"Eucalyptus regnans","Eucalyptus regnans","Intermediate","Intermediate",1,"SE_VIC","SE_AUS"
"241","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",-0.109766215494602,-0.294065343428701,0.0745329124394963,-0.113444235271863,-0.106088195717341,"Potential 1","Weeaproinah",0.368598255868197,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Intermediate",NA,"SE_VIC","SE_AUS"
"242","Non-euc Suppressed","Eucalyptus regnans Intermediate",0.0190039683076687,-0.0597538509823746,0.097761787597712,0.0165673245229497,0.0214406120923877,"Potential 1","Weeaproinah",0.157515638580087,"Non-euc","Eucalyptus regnans","Suppressed","Intermediate",NA,"SE_VIC","SE_AUS"
"243","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",0.161765374884637,-0.00730687319032819,0.330837622959602,0.15618436108377,0.167346388685504,"Potential 1","Weeaproinah",0.338144496149931,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Suppressed",NA,"SE_VIC","SE_AUS"
"244","Non-euc Suppressed","Eucalyptus regnans Suppressed",0.00431763152959317,-0.0378874160370239,0.0465226790962102,0.00263707809862893,0.00599818496055741,"Potential 1","Weeaproinah",0.0844100951332341,"Non-euc","Eucalyptus regnans","Suppressed","Suppressed",NA,"SE_VIC","SE_AUS"
"245","Non-euc Suppressed","Non-euc Suppressed",0.182871839298895,0.080922952444899,0.284820726152891,0.166996052258589,0.198747626339201,"Potential 1","Weeaproinah",0.203897773707992,"Non-euc","Non-euc","Suppressed","Suppressed",1,"SE_VIC","SE_AUS"
"246","Eucalyptus regnans Co/dominant","Eucalyptus regnans Co/dominant",-0.705795750184852,-1.05443040786116,-0.357161092508547,-0.723101779984402,-0.688489720385302,"Potential 1","ANU363",0.69726931535261,"Eucalyptus regnans","Eucalyptus regnans","Co/dominant","Co/dominant",1,"SE_VIC","SE_AUS"
"247","Eucalyptus regnans Intermediate","Eucalyptus regnans Co/dominant",-0.160418440693916,-0.348230065557893,0.0273931841700614,-0.165303335961938,-0.155533545425893,"Potential 1","ANU363",0.375623249727954,"Eucalyptus regnans","Eucalyptus regnans","Intermediate","Co/dominant",NA,"SE_VIC","SE_AUS"
