"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","species_from","species_to","class_from","class_to","sig","region","region2"
"22","Non-euc Suppressed","Eucalyptus diversicolor Co/dominant",-0.120505816243729,-0.294074678523252,0.0530630460357942,-0.124024366513308,-0.11698726597415,"Potential 1","Sutton",0.347137724559046,"Non-euc","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"23","Eucalyptus diversicolor Intermediate","Eucalyptus diversicolor Intermediate",-0.168190270373499,-0.714603184156002,0.378222643409005,-0.175599486466288,-0.16078105428071,"Potential 1","Sutton",1.09282582756501,"Eucalyptus diversicolor","Eucalyptus diversicolor","Intermediate","Intermediate",NA,"WA","WA"
"24","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Intermediate",0.513118468301751,-0.077091292368704,1.10332822897221,0.503518910089429,0.522718026514073,"Potential 1","Sutton",1.18041952134091,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Intermediate",NA,"WA","WA"
"25","Non-euc Suppressed","Eucalyptus diversicolor Intermediate",-0.162675901189786,-0.455548746629457,0.130196944249885,-0.167452503290388,-0.157899299089184,"Potential 1","Sutton",0.585745690879341,"Non-euc","Eucalyptus diversicolor","Suppressed","Intermediate",NA,"WA","WA"
"26","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Suppressed",-1.01096778342667,-2.07285234922197,0.0509167823686292,-1.03336919665147,-0.988566370201875,"Potential 1","Sutton",2.1237691315906,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"27","Non-euc Suppressed","Eucalyptus diversicolor Suppressed",0.072792198502884,-0.161644205966872,0.30722860297264,0.0665685825016908,0.0790158145040771,"Potential 1","Sutton",0.468872808939513,"Non-euc","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"28","Non-euc Suppressed","Non-euc Suppressed",0.431370577084255,0.259071345372074,0.603669808796436,0.416223728768635,0.446517425399875,"Potential 1","Sutton",0.344598463424362,"Non-euc","Non-euc","Suppressed","Suppressed",1,"WA","WA"
"29","Eucalyptus jacksonii Co/dominant","Eucalyptus jacksonii Co/dominant",-0.293436438050708,-0.759765717627332,0.172892841525916,-0.311714101971001,-0.275158774130415,"Potential 1","Giants",0.932658559153248,"Eucalyptus jacksonii","Eucalyptus jacksonii","Co/dominant","Co/dominant",NA,"WA","WA"
"30","Eucalyptus jacksonii Intermediate","Eucalyptus jacksonii Co/dominant",0.168057467851424,-0.106113341554535,0.442228277257383,0.155820741001784,0.180294194701063,"Potential 1","Giants",0.548341618811919,"Eucalyptus jacksonii","Eucalyptus jacksonii","Intermediate","Co/dominant",NA,"WA","WA"
"31","Eucalyptus jacksonii Suppressed","Eucalyptus jacksonii Co/dominant",0.211586901430601,-0.0011518850909143,0.424325687952117,0.202944775460587,0.220229027400615,"Potential 1","Giants",0.425477573043031,"Eucalyptus jacksonii","Eucalyptus jacksonii","Suppressed","Co/dominant",NA,"WA","WA"
"32","Non-euc Suppressed","Eucalyptus jacksonii Co/dominant",-0.104215727406149,-0.263685586008912,0.0552541311966141,-0.108049704145844,-0.100381750666454,"Potential 1","Giants",0.318939717205526,"Non-euc","Eucalyptus jacksonii","Suppressed","Co/dominant",NA,"WA","WA"
"33","Eucalyptus jacksonii Intermediate","Eucalyptus jacksonii Intermediate",0.22046720233503,-0.0210206740900499,0.461955078760109,0.207902726288349,0.23303167838171,"Potential 1","Giants",0.482975752850159,"Eucalyptus jacksonii","Eucalyptus jacksonii","Intermediate","Intermediate",NA,"WA","WA"
"34","Eucalyptus jacksonii Suppressed","Eucalyptus jacksonii Intermediate",0.111005000777592,-0.0435528858162645,0.265562887371449,0.103610425204335,0.11839957635085,"Potential 1","Giants",0.309115773187714,"Eucalyptus jacksonii","Eucalyptus jacksonii","Suppressed","Intermediate",NA,"WA","WA"
"35","Non-euc Suppressed","Eucalyptus jacksonii Intermediate",-0.165855230610079,-0.367023859237602,0.0353133980174438,-0.171574238639158,-0.160136222581,"Potential 1","Giants",0.402337257255045,"Non-euc","Eucalyptus jacksonii","Suppressed","Intermediate",NA,"WA","WA"
"36","Eucalyptus jacksonii Suppressed","Eucalyptus jacksonii Suppressed",0.275299689992333,0.0908777804061263,0.459721599578539,0.264708981507666,0.285890398476999,"Potential 1","Giants",0.368843819172413,"Eucalyptus jacksonii","Eucalyptus jacksonii","Suppressed","Suppressed",1,"WA","WA"
"37","Non-euc Suppressed","Eucalyptus jacksonii Suppressed",0.0184579064222977,-0.0877114868792635,0.124627299723859,0.0151678478928031,0.0217479649517924,"Potential 1","Giants",0.212338786603122,"Non-euc","Eucalyptus jacksonii","Suppressed","Suppressed",NA,"WA","WA"
"38","Non-euc Suppressed","Non-euc Suppressed",0.176243107712888,0.0163274149062158,0.336158800519561,0.167741411773906,0.184744803651871,"Potential 1","Giants",0.319831385613345,"Non-euc","Non-euc","Suppressed","Suppressed",1,"WA","WA"
"39","Eucalyptus diversicolor Co/dominant","Eucalyptus diversicolor Co/dominant",-0.175458259352448,-0.472332640543681,0.121416121838785,-0.182595149031494,-0.168321369673401,"Potential 1","Warren",0.593748762382466,"Eucalyptus diversicolor","Eucalyptus diversicolor","Co/dominant","Co/dominant",NA,"WA","WA"
"40","Eucalyptus diversicolor Intermediate","Eucalyptus diversicolor Co/dominant",-0.0761202689991843,-0.346187034014573,0.193946496016204,-0.0791968124126148,-0.0730437255857538,"Potential 1","Warren",0.540133530030777,"Eucalyptus diversicolor","Eucalyptus diversicolor","Intermediate","Co/dominant",NA,"WA","WA"
"41","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Co/dominant",-0.337433571450578,-0.553274822708972,-0.121592320192185,-0.343002487510398,-0.331864655390759,"Potential 1","Warren",0.431682502516787,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Co/dominant",1,"WA","WA"
"42","Non-euc Suppressed","Eucalyptus diversicolor Co/dominant",-0.0593132902630344,-0.191965746267194,0.0733391657411251,-0.0628035459060426,-0.0558230346200262,"Potential 1","Warren",0.265304912008319,"Non-euc","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"43","Eucalyptus diversicolor Intermediate","Eucalyptus diversicolor Intermediate",0.200037825764638,-0.354946191890925,0.755021843420201,0.19454125060023,0.205534400929046,"Potential 1","Warren",1.10996803531113,"Eucalyptus diversicolor","Eucalyptus diversicolor","Intermediate","Intermediate",NA,"WA","WA"
"44","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Intermediate",-0.00943792386632828,-0.333316645231959,0.314440797499302,-0.0136640246181745,-0.00521182311448201,"Potential 1","Warren",0.647757442731261,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Intermediate",NA,"WA","WA"
"45","Non-euc Suppressed","Eucalyptus diversicolor Intermediate",-0.029218368390685,-0.266343394823423,0.207906658042053,-0.03339493656262,-0.0250418002187501,"Potential 1","Warren",0.474250052865476,"Non-euc","Eucalyptus diversicolor","Suppressed","Intermediate",NA,"WA","WA"
"46","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Suppressed",-0.126702238376378,-0.500697231930112,0.247292755177356,-0.136529924500942,-0.116874552251815,"Potential 1","Warren",0.747989987107468,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"47","Non-euc Suppressed","Eucalyptus diversicolor Suppressed",-0.13443327163242,-0.30067396886087,0.0318074255960298,-0.138726069326514,-0.130140473938327,"Potential 1","Warren",0.3324813944569,"Non-euc","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"48","Non-euc Suppressed","Non-euc Suppressed",0.370726882927506,0.22208177602182,0.519371989833192,0.361674542709105,0.379779223145907,"Potential 1","Warren",0.297290213811372,"Non-euc","Non-euc","Suppressed","Suppressed",1,"WA","WA"
