"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Fit"
"253","Non-euc Suppressed","Non-euc Suppressed",-0.0320213354808468,-0.195807810830543,0.13176513986885,-0.0440666961401518,-0.0199759748215418,"Ada Tree"
"17","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.0996914613365286,-0.361860896289982,0.162477973616925,-0.106057566975683,-0.0933253556973738,"HardyCreek"
"24","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.627954571907429,-1.07541494843497,-0.180494195379883,-0.639169936440386,-0.616739207374471,"HardyCreek"
"34","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.13463992586475,-0.35234327707526,0.0830634253457595,-0.138846962166033,-0.130432889563468,"HardyCreek"
"44","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",-0.218568365984409,-0.519996791619793,0.082860059650975,-0.223613407284463,-0.213523324684355,"HardyCreek"
"54","Non-euc Suppressed","Eucalyptus regnans Co-dominant",0.0590229501028367,-0.136650183988059,0.254696084193733,0.0543248611349156,0.0637210390707578,"HardyCreek"
"74","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-2.58182292152108,-4.73714490010817,-0.426500942933995,-2.63793701126834,-2.52570883177382,"HardyCreek"
"84","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",0.0683641871411529,-0.46902372595931,0.605752100241616,0.0565288735991885,0.0801995006831172,"HardyCreek"
"94","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",-0.141904698269427,-0.685767724053393,0.401958327514539,-0.15360696722939,-0.130202429309464,"HardyCreek"
"104","Non-euc Suppressed","Eucalyptus regnans Dominant",-0.0316443804289585,-0.522540451296682,0.459251690438765,-0.043762740144557,-0.0195260207133599,"HardyCreek"
"134","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",0.101769446302019,-0.272518473738295,0.476057366342333,0.0920854425881028,0.111453450015935,"HardyCreek"
"144","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",0.23137157406571,-0.0819134944229427,0.544656642554362,0.223611034335957,0.239132113795462,"HardyCreek"
"154","Non-euc Suppressed","Eucalyptus regnans Intermediate",0.0926726568063891,-0.125581418226668,0.310926731839446,0.0872023365455935,0.0981429770671848,"HardyCreek"
"194","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",0.160538950846764,-0.34580202593903,0.666879927632557,0.147806838783845,0.173271062909683,"HardyCreek"
"204","Non-euc Suppressed","Eucalyptus regnans Suppressed",0.0901522267380591,-0.19688227622736,0.377186729703478,0.0827131046565221,0.0975913488195961,"HardyCreek"
"254","Non-euc Suppressed","Non-euc Suppressed",-0.0302358161738305,-0.333139904755317,0.272668272407656,-0.0383102726651604,-0.0221613596825006,"HardyCreek"
"18","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.441685853953153,-0.74853031471226,-0.134841393194046,-0.454043010122307,-0.429328697783999,"Weeaproinah"
"26","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.291084594689616,-0.6287326861059,0.0465634967266684,-0.297671489017605,-0.284497700361627,"Weeaproinah"
"35","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.127540362771095,-0.399526112472124,0.144445386929935,-0.13495562033288,-0.120125105209309,"Weeaproinah"
"45","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",0.00606459252872644,-0.187443071816982,0.199572256874435,0.00230879903320903,0.00982038602424384,"Weeaproinah"
"55","Non-euc Suppressed","Eucalyptus regnans Co-dominant",0.0323858935796681,-0.0470153755263247,0.111787162685661,0.0293770885490458,0.0353946986102903,"Weeaproinah"
"75","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-0.728248707303838,-1.40129765375753,-0.055199760850148,-0.739655222376745,-0.716842192230931,"Weeaproinah"
