"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","class_from","class_to","species_from","species_to","class_int","georegion","region","sig","cc_to","cc_from","cc_int"
"17","Eucalyptus diversicolor large","Allocasuarina decussata small",-0.0950868737372541,-0.296137219441094,0.105963471966586,-0.0978965860433386,-0.0922771614311697,"Potential 1","Collins",0.40210069140768,"large","small","Eucalyptus diversicolor","Allocasuarina decussata","large_small","N_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"18","Eucalyptus diversicolor small","Allocasuarina decussata small",0.00264198151556618,-0.0848549123429091,0.0901388753740415,-0.000974933350020592,0.00625889638115295,"Potential 1","Collins",0.174993787716951,"small","small","Eucalyptus diversicolor","Allocasuarina decussata","small_small","N_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"19","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.444269916245886,-0.887045215887893,-0.00149461660387956,-0.452220370509753,-0.43631946198202,"Potential 1","Collins",0.885550599284013,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"20","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.021499323860907,-0.22682830806299,0.183829660341176,-0.0238160087502261,-0.0191826389715878,"Potential 1","Collins",0.410657968404166,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"21","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.337334913023678,0.194721507839377,0.479948318207978,0.331248216214582,0.343421609832774,"Potential 1","Collins",0.285226810368601,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"22","Allocasuarina decussata large","Allocasuarina decussata large",-0.258458210168324,-0.938006619373811,0.421090199037163,-0.263925511559238,-0.25299090877741,"Potential 1","Clare",1.35909681841097,"large","large","Allocasuarina decussata","Allocasuarina decussata","large_large","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"23","Allocasuarina decussata small","Allocasuarina decussata large",0.0402688273932233,-0.213256922043901,0.293794576830347,0.0374471243645486,0.043090530421898,"Potential 1","Clare",0.507051498874248,"small","large","Allocasuarina decussata","Allocasuarina decussata","small_large","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"24","Eucalyptus jacksonii small","Allocasuarina decussata large",0.600720041456394,-0.198304436685931,1.39974451959872,0.592515887442807,0.608924195469981,"Potential 1","Clare",1.59804895628465,"small","large","Eucalyptus jacksonii","Allocasuarina decussata","small_large","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"25","Allocasuarina decussata small","Allocasuarina decussata small",0.217717614677534,0.0795643072680542,0.355870922087013,0.211279777953134,0.224155451401934,"Potential 1","Clare",0.276306614818959,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA","WA","1","Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"26","Eucalyptus jacksonii small","Allocasuarina decussata small",-0.0374970264390586,-0.4055176081798,0.330523555301683,-0.0410016462841754,-0.0339924065939419,"Potential 1","Clare",0.736041163481483,"small","small","Eucalyptus jacksonii","Allocasuarina decussata","small_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
