"","x","predicted","std.error","conf.low","conf.high","group"
"1","Subcanopy small_Canopy large",0.0048982070956144,0.0172556693452492,-0.0291901616327656,0.0389865758239944,"1"
"2","Subcanopy small_Canopy small",-0.0114165504109392,0.0172556693452491,-0.0455049191393191,0.0226718183174408,"1"
"3","Subcanopy large_Canopy large",-0.0256733390094756,0.0188588318211923,-0.0629287360644907,0.0115820580455395,"1"
"4","Subcanopy large_Canopy small",-0.00916702442987419,0.0188588318211923,-0.0464224214848892,0.0280883726251409,"1"
