"","iter","types","value","split","site"
"83",8,"small Eucalyptus diversicolor",0.697259521484375,"test","Collins"
"84",8,"small Non-euc",0.813946533203125,"test","Collins"
"85",9,"large Eucalyptus diversicolor",0.46337890625,"test","Collins"
"86",9,"small Eucalyptus diversicolor",0.612493896484375,"test","Collins"
"87",9,"small Non-euc",0.8109375,"test","Collins"
"88",10,"large Eucalyptus diversicolor",0.606549072265625,"test","Collins"
"89",10,"small Eucalyptus diversicolor",0.801300048828125,"test","Collins"
"90",10,"small Non-euc",0.7816162109375,"test","Collins"
"91",11,"large Eucalyptus diversicolor",0.541082763671875,"test","Collins"
"92",11,"small Eucalyptus diversicolor",0.66148681640625,"test","Collins"
"93",11,"small Non-euc",0.788616943359375,"test","Collins"
"94",12,"large Eucalyptus diversicolor",0.6862060546875,"test","Collins"
"95",12,"small Eucalyptus diversicolor",0.800933837890625,"test","Collins"
"96",12,"small Non-euc",0.723638916015625,"test","Collins"
"97",13,"large Eucalyptus diversicolor",0.6095703125,"test","Collins"
"98",13,"small Eucalyptus diversicolor",0.782659912109375,"test","Collins"
"99",13,"small Non-euc",0.84678955078125,"test","Collins"
"100",14,"large Eucalyptus diversicolor",0.52559814453125,"test","Collins"
"101",14,"small Eucalyptus diversicolor",0.6771484375,"test","Collins"
"102",14,"small Non-euc",0.642828369140625,"test","Collins"
"103",15,"large Eucalyptus diversicolor",0.446514892578125,"test","Collins"
"104",15,"small Eucalyptus diversicolor",0.778533935546875,"test","Collins"
"105",15,"small Non-euc",0.77879638671875,"test","Collins"
"106",16,"large Eucalyptus diversicolor",0.642333984375,"test","Collins"
"107",16,"small Eucalyptus diversicolor",0.586102294921875,"test","Collins"
"108",16,"small Non-euc",0.849053955078125,"test","Collins"
"109",17,"large Eucalyptus diversicolor",0.6230224609375,"test","Collins"
"110",17,"small Eucalyptus diversicolor",0.762567138671875,"test","Collins"
"111",17,"small Non-euc",0.788311767578125,"test","Collins"
"112",18,"large Eucalyptus diversicolor",0.56864013671875,"test","Collins"
"113",18,"small Eucalyptus diversicolor",0.678094482421875,"test","Collins"
"114",18,"small Non-euc",0.7844482421875,"test","Collins"
"115",19,"large Eucalyptus diversicolor",0.503338623046875,"test","Collins"
"116",19,"small Eucalyptus diversicolor",0.717626953125,"test","Collins"
"117",19,"small Non-euc",0.747747802734375,"test","Collins"
"118",20,"large Eucalyptus diversicolor",0.667755126953125,"test","Collins"
"119",20,"small Eucalyptus diversicolor",0.57198486328125,"test","Collins"
"120",20,"small Non-euc",0.853564453125,"test","Collins"
"121",1,"large Eucalyptus diversicolor",0.692916067023026,"train","Frankland"
"122",1,"small Eucalyptus diversicolor",0.590315385298295,"train","Frankland"
"123",1,"small Eucalyptus guilfoylei",0.670003255208333,"train","Frankland"
"124",1,"small Non-euc",0.829170735677083,"train","Frankland"
"125",2,"large Eucalyptus diversicolor",0.701367829975329,"train","Frankland"
"126",2,"small Eucalyptus diversicolor",0.661307594992898,"train","Frankland"
"127",2,"small Eucalyptus guilfoylei",0.662574297116127,"train","Frankland"
"128",2,"small Non-euc",0.70452880859375,"train","Frankland"
"129",3,"large Eucalyptus diversicolor",0.618478875411184,"train","Frankland"
"130",3,"small Eucalyptus diversicolor",0.603221546519886,"train","Frankland"
"131",3,"small Eucalyptus guilfoylei",0.655617796344522,"train","Frankland"
"132",3,"small Non-euc",0.774820963541667,"train","Frankland"
"133",4,"large Eucalyptus diversicolor",0.649208470394737,"train","Frankland"
"134",4,"small Eucalyptus diversicolor",0.617944890802557,"train","Frankland"
"135",4,"small Eucalyptus guilfoylei",0.657757040895062,"train","Frankland"
"136",4,"small Non-euc",0.788509114583333,"train","Frankland"
"137",5,"large Eucalyptus diversicolor",0.639192280016447,"train","Frankland"
"138",5,"small Eucalyptus diversicolor",0.630842729048295,"train","Frankland"
"139",5,"small Eucalyptus guilfoylei",0.662961606626157,"train","Frankland"
"140",5,"small Non-euc",0.719258626302083,"train","Frankland"
"141",6,"large Eucalyptus diversicolor",0.602885999177632,"train","Frankland"
"142",6,"small Eucalyptus diversicolor",0.570659290660511,"train","Frankland"
"143",6,"small Eucalyptus guilfoylei",0.662886254581404,"train","Frankland"
"144",6,"small Non-euc",0.70467529296875,"train","Frankland"
"145",7,"large Eucalyptus diversicolor",0.629513389185855,"train","Frankland"
"146",7,"small Eucalyptus diversicolor",0.631092418323864,"train","Frankland"
"147",7,"small Eucalyptus guilfoylei",0.658701202015818,"train","Frankland"
"148",7,"small Non-euc",0.656131998697917,"train","Frankland"
"149",8,"large Eucalyptus diversicolor",0.684085243626645,"train","Frankland"
"150",8,"small Eucalyptus diversicolor",0.620294744318182,"train","Frankland"
"151",8,"small Eucalyptus guilfoylei",0.667363673080633,"train","Frankland"
"152",8,"small Non-euc",0.696036783854167,"train","Frankland"
"153",9,"large Eucalyptus diversicolor",0.679118909333882,"train","Frankland"
"154",9,"small Eucalyptus diversicolor",0.622966419566761,"train","Frankland"
"155",9,"small Eucalyptus guilfoylei",0.676064573688272,"train","Frankland"
"156",9,"small Non-euc",0.729451497395833,"train","Frankland"
"157",10,"large Eucalyptus diversicolor",0.643297697368421,"train","Frankland"
"158",10,"small Eucalyptus diversicolor",0.610911976207386,"train","Frankland"
"159",10,"small Eucalyptus guilfoylei",0.673012062355324,"train","Frankland"
"160",10,"small Non-euc",0.664762369791667,"train","Frankland"
"161",11,"large Eucalyptus diversicolor",0.663827996504934,"train","Frankland"
"162",11,"small Eucalyptus diversicolor",0.616022283380682,"train","Frankland"
"163",11,"small Eucalyptus guilfoylei",0.65411376953125,"train","Frankland"
"164",11,"small Non-euc",0.785795084635417,"train","Frankland"
"165",12,"large Eucalyptus diversicolor",0.641039396587171,"train","Frankland"
"166",12,"small Eucalyptus diversicolor",0.668193470348011,"train","Frankland"
"167",12,"small Eucalyptus guilfoylei",0.655098620756173,"train","Frankland"
"168",12,"small Non-euc",0.693489583333333,"train","Frankland"
"169",13,"large Eucalyptus diversicolor",0.656690095600329,"train","Frankland"
"170",13,"small Eucalyptus diversicolor",0.570220947265625,"train","Frankland"
"171",13,"small Eucalyptus guilfoylei",0.687298056520062,"train","Frankland"
"172",13,"small Non-euc",0.70501708984375,"train","Frankland"
"173",14,"large Eucalyptus diversicolor",0.672963995682566,"train","Frankland"
"174",14,"small Eucalyptus diversicolor",0.59004072709517,"train","Frankland"
"175",14,"small Eucalyptus guilfoylei",0.666194209346065,"train","Frankland"
"176",14,"small Non-euc",0.77132568359375,"train","Frankland"
"177",15,"large Eucalyptus diversicolor",0.647505910773026,"train","Frankland"
"178",15,"small Eucalyptus diversicolor",0.602206143465909,"train","Frankland"
"179",15,"small Eucalyptus guilfoylei",0.680374710648148,"train","Frankland"
"180",15,"small Non-euc",0.742110188802083,"train","Frankland"
"181",16,"large Eucalyptus diversicolor",0.734198319284539,"train","Frankland"
