"","site","types","auc_score","n_points"
"126","Tinebank","large Non-euc",0.641867065429688,20
"127","BlackBull","large Eucalypt",0.584310726243622,49
"128","BlackBull","small Eucalypt",0.535949102722772,101
"129","BlackBull","small Non-euc",0.5292694237814,209
"130","Tinebank","large Non-euc",0.641867065429688,20
"131","Bruxner","large Eucalypt",0.508822970920139,81
"132","Bruxner","small Eucalypt",0.600816458709969,121
"133","Bruxner","small Non-euc",0.522245374576066,645
"134","Tinebank","large Non-euc",0.641867065429688,20
"135","Osullivans","large Eucalypt",0.579418006310096,65
"136","Osullivans","small Eucalypt",0.599652430807897,129
"137","Osullivans","small Non-euc",0.549706153620302,306
"138","Osullivans","large Non-euc",0.702802385602679,14
"139","Herberton","large Eucalypt",0.706591796875,20
"140","Herberton","small Eucalypt",0.602038288674159,171
"141","Herberton","small Non-euc",0.619346981956845,42
"142","Osullivans","large Non-euc",0.702802385602679,14
"143","Lamb Range","large Eucalypt",0.501197121360085,44
"144","Lamb Range","small Eucalypt",0.579187853582974,58
"145","Lamb Range","small Non-euc",0.547260485197368,152
"146","Osullivans","large Non-euc",0.702802385602679,14
"147","Baldy","large Eucalypt",0.568827311197917,42
"148","Baldy","small Eucalypt",0.499316180193866,54
"149","Baldy","small Non-euc",0.620986599392361,90
"150","Osullivans","large Non-euc",0.702802385602679,14
"151","Koombooloomba","large Eucalypt",0.570383899616745,53
"152","Koombooloomba","small Eucalypt",0.551776433395127,59
"153","Koombooloomba","small Non-euc",0.565902144820602,270
"154","Osullivans","large Non-euc",0.702802385602679,14
"155","BlackRiver","large Eucalypt",0.536517084861288,98
"156","BlackRiver","small Eucalypt",0.49334716796875,106
"157","BlackRiver","small Non-euc",0.525264066808364,340
"158","Osullivans","large Non-euc",0.702802385602679,14
"159","BondTier","large Eucalypt",0.613744934993004,67
"160","BondTier","small Eucalypt",0.817410982572115,13
"161","BondTier","small Non-euc",0.587499743684383,381
"162","BondTier","large Non-euc",0.657121138139205,22
"163","Supersite","large Eucalypt",0.643189324273003,72
"164","Supersite","small Eucalypt",0.698493726325758,33
"165","Supersite","small Non-euc",0.530501385124362,294
"166","Supersite","large Non-euc",0.685370950137868,17
"167","Mackenzie","large Eucalypt",0.537672663309488,83
"168","Mackenzie","small Eucalypt",0.55855089552859,141
"169","Mackenzie","small Non-euc",0.591279470375952,197
"170","Supersite","large Non-euc",0.685370950137868,17
"171","MtMaurice","large Eucalypt",0.513184906334005,93
"172","MtMaurice","small Eucalypt",0.581060585855436,238
"173","MtMaurice","small Non-euc",0.629756187325093,67
"174","Supersite","large Non-euc",0.685370950137868,17
"175","BenRidge","large Eucalypt",0.556941441127232,84
"176","BenRidge","small Eucalypt",0.610085042317708,240
"177","BenRidge","small Non-euc",0.516833851638349,206
"178","Supersite","large Non-euc",0.685370950137868,17
"179","MtField","large Eucalypt",0.54760821972018,153
"180","MtField","small Eucalypt",0.547481020035282,155
"181","MtField","small Non-euc",0.511213931291463,358
"182","Supersite","large Non-euc",0.685370950137868,17
"183","Caveside","large Eucalypt",0.551166310029871,68
"184","Caveside","small Eucalypt",0.567318417610378,109
"185","Caveside","small Non-euc",0.523031212052686,1261
"186","Supersite","large Non-euc",0.685370950137868,17
