"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","range_ci","sig","species_from","species_to","size_from","size_to"
"371","WaratahMix","small Eucalyptus cypellocarpa","small Eucalyptus cypellocarpa",0.255975619378091,-0.0495490843930039,0.561500323149186,0.249166942980954,0.262784295775228,"Potential 1",0.61104940754219,NA,"Eucalyptus cypellocarpa","Eucalyptus cypellocarpa","small","small"
"381","WaratahMix","small Eucalyptus fastigata","small Eucalyptus cypellocarpa",-0.0638998984652929,-0.274246733370277,0.146446936439691,-0.0672805750757911,-0.0605192218547946,"Potential 1",0.420693669809968,NA,"Eucalyptus fastigata","Eucalyptus cypellocarpa","small","small"
"391","WaratahMix","small Eucalyptus obliqua","small Eucalyptus cypellocarpa",-0.119955339374665,-0.398901767469838,0.158991088720509,-0.124721481759431,-0.115189196989898,"Potential 1",0.557892856190347,NA,"Eucalyptus obliqua","Eucalyptus cypellocarpa","small","small"
"40","WaratahMix","small Eucalyptus radiata","small Eucalyptus cypellocarpa",-0.0157672640067927,-0.143829418552185,0.112294890538599,-0.0183487765540169,-0.0131857514595685,"Potential 1",0.256124309090784,NA,"Eucalyptus radiata","Eucalyptus cypellocarpa","small","small"
"461","WaratahMix","small Eucalyptus fastigata","small Eucalyptus fastigata",0.187056565460366,-0.0767331556914002,0.450846286612133,0.181651448464307,0.192461682456426,"Potential 1",0.527579442303533,NA,"Eucalyptus fastigata","Eucalyptus fastigata","small","small"
"47","WaratahMix","small Eucalyptus obliqua","small Eucalyptus fastigata",0.0756159866633692,-0.274844127678589,0.426076101005328,0.0715661795959238,0.0796657937308146,"Potential 1",0.700920228683917,NA,"Eucalyptus obliqua","Eucalyptus fastigata","small","small"
"48","WaratahMix","small Eucalyptus radiata","small Eucalyptus fastigata",0.067069914000543,-0.0699519470106403,0.204091775011726,0.0638399706348985,0.0702998573661876,"Potential 1",0.274043722022367,NA,"Eucalyptus radiata","Eucalyptus fastigata","small","small"
"551","WaratahMix","small Eucalyptus obliqua","small Eucalyptus obliqua",0.0283474096925399,-0.537245386114463,0.593940205499543,0.0204162209408871,0.0362785984441928,"Potential 1",1.13118559161401,NA,"Eucalyptus obliqua","Eucalyptus obliqua","small","small"
"561","WaratahMix","small Eucalyptus radiata","small Eucalyptus obliqua",-0.0507829163564596,-0.197648444755562,0.0960826120426431,-0.053502211965583,-0.0480636207473362,"Potential 1",0.293731056798205,NA,"Eucalyptus radiata","Eucalyptus obliqua","small","small"
"641","WaratahMix","small Eucalyptus radiata","small Eucalyptus radiata",0.21832605613318,0.0586815237222821,0.377970588544078,0.209016454000094,0.227635658266265,"Potential 1",0.319289064821796,1,"Eucalyptus radiata","Eucalyptus radiata","small","small"
"130","WogWay","large Eucalyptus fastigata","large Eucalyptus fastigata",-0.0948044839871802,-0.741942963016657,0.552333995042296,-0.107596590543644,-0.082012377430716,"Potential 1",1.29427695805895,NA,"Eucalyptus fastigata","Eucalyptus fastigata","large","large"
"220","WogWay","large Eucalyptus obliqua","large Eucalyptus fastigata",-0.259914762474556,-1.06307978761449,0.543250262665383,-0.272122821522195,-0.247706703426916,"Potential 1",1.60633005027988,NA,"Eucalyptus obliqua","Eucalyptus fastigata","large","large"
"318","WogWay","large Eucalyptus viminalis","large Eucalyptus fastigata",-0.026109668469137,-0.401571682881419,0.349352345943145,-0.0319938125750083,-0.0202255243632657,"Potential 1",0.750924028824564,NA,"Eucalyptus viminalis","Eucalyptus fastigata","large","large"
"412","WogWay","small Eucalyptus fastigata","large Eucalyptus fastigata",0.202159149270728,-0.031246429580968,0.435564728122425,0.196092872426699,0.208225426114757,"Potential 1",0.466811157703393,NA,"Eucalyptus fastigata","Eucalyptus fastigata","small","large"
"513","WogWay","small Eucalyptus viminalis","large Eucalyptus fastigata",0.0544552319245682,-0.113849842145609,0.222760305994746,0.0515275286208066,0.0573829352283299,"Potential 1",0.336610148140355,NA,"Eucalyptus viminalis","Eucalyptus fastigata","small","large"
"615","WogWay","small Non-euc","large Eucalyptus fastigata",0.651623170355564,-0.138480908460424,1.44172724917155,0.635187303863673,0.668059036847455,"Potential 1",1.58020815763198,NA,"Non-euc","Eucalyptus fastigata","small","large"
"87","WogWay","large Eucalyptus obliqua","large Eucalyptus obliqua",-0.0897220765779779,-0.645070283874464,0.465626130718508,-0.102634925604448,-0.0768092275515074,"Potential 1",1.11069641459297,NA,"Eucalyptus obliqua","Eucalyptus obliqua","large","large"
"912","WogWay","large Eucalyptus viminalis","large Eucalyptus obliqua",-0.817628971675831,-1.39466416388777,-0.240593779463892,-0.828743031669219,-0.806514911682442,"Potential 1",1.15407038442388,1,"Eucalyptus viminalis","Eucalyptus obliqua","large","large"
"104","WogWay","small Eucalyptus fastigata","large Eucalyptus obliqua",-0.254706550555988,-0.693246008990372,0.183832907878395,-0.262951779061229,-0.246461322050747,"Potential 1",0.877078916868766,NA,"Eucalyptus fastigata","Eucalyptus obliqua","small","large"
"1113","WogWay","small Eucalyptus viminalis","large Eucalyptus obliqua",0.136515190674036,-0.0346770741024265,0.307707455450499,0.131952971457212,0.14107740989086,"Potential 1",0.342384529552925,NA,"Eucalyptus viminalis","Eucalyptus obliqua","small","large"
"1211","WogWay","small Non-euc","large Eucalyptus obliqua",0.397249592382787,-0.304415151247484,1.09891433601306,0.385375402346089,0.409123782419484,"Potential 1",1.40332948726054,NA,"Non-euc","Eucalyptus obliqua","small","large"
"153","WogWay","large Eucalyptus viminalis","large Eucalyptus viminalis",-0.107940121023162,-0.42468075980365,0.208800517757326,-0.116574166117022,-0.0993060759293022,"Potential 1",0.633481277560976,NA,"Eucalyptus viminalis","Eucalyptus viminalis","large","large"
"165","WogWay","small Eucalyptus fastigata","large Eucalyptus viminalis",-0.270021128253634,-0.476323584349596,-0.0637186721576717,-0.274173780088345,-0.265868476418922,"Potential 1",0.412604912191924,1,"Eucalyptus fastigata","Eucalyptus viminalis","small","large"
"172","WogWay","small Eucalyptus viminalis","large Eucalyptus viminalis",0.052422405653134,-0.0551577464001494,0.160002557706417,0.0501955470268847,0.0546492642793834,"Potential 1",0.215160304106567,NA,"Eucalyptus viminalis","Eucalyptus viminalis","small","large"
"182","WogWay","small Non-euc","large Eucalyptus viminalis",-0.0871890347281195,-0.448702884849266,0.274324815393027,-0.0930195050554239,-0.0813585644008151,"Potential 1",0.723027700242293,NA,"Non-euc","Eucalyptus viminalis","small","large"
"222","WogWay","small Eucalyptus fastigata","small Eucalyptus fastigata",0.241513743179679,0.0200628279258922,0.462964658433467,0.230967672385948,0.25205981397341,"Potential 1",0.442901830507574,1,"Eucalyptus fastigata","Eucalyptus fastigata","small","small"
"232","WogWay","small Eucalyptus viminalis","small Eucalyptus fastigata",-0.0529193917196335,-0.162583956955066,0.0567451735157987,-0.0555025204722801,-0.0503362629669869,"Potential 1",0.219329130470864,NA,"Eucalyptus viminalis","Eucalyptus fastigata","small","small"
"242","WogWay","small Non-euc","small Eucalyptus fastigata",-0.228549558875296,-0.559062770045133,0.10196365229454,-0.235289915682419,-0.221809202068174,"Potential 1",0.661026422339673,NA,"Non-euc","Eucalyptus fastigata","small","small"
"292","WogWay","small Eucalyptus viminalis","small Eucalyptus viminalis",0.41798281953863,0.299111589279565,0.536854049797695,0.408559069760434,0.427406569316827,"Potential 1",0.23774246051813,1,"Eucalyptus viminalis","Eucalyptus viminalis","small","small"
