"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","Potential","site","range_ci","size_from","size_to","class_from","class_to","int","size_int","which"
"1610","Subcanopy small","Subcanopy small",0.218649690163463,0.0719126927181806,0.365386687608745,0.210810373612672,0.226489006714253,0.0748671907253016,"Potential 1","ANU101",0.293473994890564," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"137","Canopy large","Canopy large",-0.687512941438592,-1.10663469428838,-0.268391188588805,-0.702738124186631,-0.672287758690553,0.213841558393811,"Potential 1","Ada Tree",0.838243505699576," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"221","Canopy small","Canopy large",-0.286326064258624,-0.523672882571197,-0.04897924594605,-0.292924325058036,-0.279727803459212,0.121097540661326,"Potential 1","Ada Tree",0.474693636625148," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"317","Subcanopy large","Canopy large",0.197321751074256,-0.0515890030720602,0.446232505220573,0.192000145963276,0.202643356185237,0.126997616338715,"Potential 1","Ada Tree",0.497821508292633," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"415","Subcanopy small","Canopy large",0.0228289881701449,-0.100050013317668,0.145707989657958,0.0190593497346391,0.0265986266056507,0.0626945201325466,"Potential 1","Ada Tree",0.245758002975625," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"617","Canopy small","Canopy small",-0.280927995547479,-0.565341654719798,0.00348566362483921,-0.290278201075231,-0.271577790019727,0.145111676242899,"Potential 1","Ada Tree",0.568827318344637," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"711","Subcanopy large","Canopy small",0.141490386836725,-0.0390583118295059,0.322039085502955,0.137239381997475,0.145741391675975,0.0921183756897452,"Potential 1","Ada Tree",0.361097397332461," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"811","Subcanopy small","Canopy small",0.0953922578523795,-0.029023411235421,0.21980792694018,0.0914055324471023,0.0993789832576568,0.0634785486208805,"Potential 1","Ada Tree",0.248831338175601," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
"1115","Subcanopy large","Subcanopy large",0.0483527279022103,-0.160517692523948,0.257223148328369,0.0435622738501725,0.053143181954248,0.106568499254936,"Potential 1","Ada Tree",0.417740840852317," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large"," large large","within"
"1212","Subcanopy small","Subcanopy large",-0.07482142210648,-0.165582485527719,0.0159396413147592,-0.0770849695582416,-0.0725578746547184,0.0463075159223082,"Potential 1","Ada Tree",0.181522126842478," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"1611","Subcanopy small","Subcanopy small",0.17117183902081,0.0224382619547642,0.319905416086855,0.161268204271279,0.18107547377034,0.0758858725156366,"Potential 1","Ada Tree",0.297467154132091," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"138","Canopy large","Canopy large",-0.478051340521709,-0.748419000225546,-0.207683680817872,-0.492193989331497,-0.463908691711921,0.137945218298123,"Potential 1","Weeaproinah",0.540735319407674," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"222","Canopy small","Canopy large",-0.11823728485325,-0.253854061886982,0.0173794921804825,-0.122666613113197,-0.113807956593303,0.0691935046273605,"Potential 1","Weeaproinah",0.271233554067464," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
