"","iter","types","value","split","site"
"71",16,"Eucalyptus regnans Co/dominant",0.638897705078125,"test","ANU363"
"72",16,"Eucalyptus regnans Intermediate",0.563934326171875,"test","ANU363"
"73",17,"Eucalyptus regnans Co/dominant",0.667645263671875,"test","ANU363"
"74",17,"Eucalyptus regnans Intermediate",0.65252685546875,"test","ANU363"
"75",18,"Eucalyptus regnans Co/dominant",0.684918212890625,"test","ANU363"
"76",18,"Eucalyptus regnans Intermediate",0.714617919921875,"test","ANU363"
"77",19,"Eucalyptus regnans Co/dominant",0.6876708984375,"test","ANU363"
"78",19,"Eucalyptus regnans Intermediate",0.679852294921875,"test","ANU363"
"79",20,"Eucalyptus regnans Co/dominant",0.632318115234375,"test","ANU363"
"80",20,"Eucalyptus regnans Intermediate",0.70074462890625,"test","ANU363"
"81",1,"Eucalyptus diversicolor Co/dominant",0.59886474609375,"train","Frankland"
"82",1,"Eucalyptus diversicolor Suppressed",0.502370198567708,"train","Frankland"
"83",1,"Eucalyptus guilfoylei Suppressed",0.636697957803915,"train","Frankland"
"84",1,"Non-euc Suppressed",0.7060546875,"train","Frankland"
"85",2,"Eucalyptus diversicolor Co/dominant",0.609403483072917,"train","Frankland"
"86",2,"Eucalyptus diversicolor Suppressed",0.522237141927083,"train","Frankland"
"87",2,"Eucalyptus guilfoylei Suppressed",0.637854942908654,"train","Frankland"
"88",2,"Non-euc Suppressed",0.703620910644531,"train","Frankland"
"89",3,"Eucalyptus diversicolor Co/dominant",0.543941243489583,"train","Frankland"
"90",3,"Eucalyptus diversicolor Suppressed",0.509590148925781,"train","Frankland"
"91",3,"Eucalyptus guilfoylei Suppressed",0.624441293569712,"train","Frankland"
"92",3,"Non-euc Suppressed",0.693809509277344,"train","Frankland"
"93",4,"Eucalyptus diversicolor Co/dominant",0.61768798828125,"train","Frankland"
"94",4,"Eucalyptus diversicolor Suppressed",0.513900756835938,"train","Frankland"
"95",4,"Eucalyptus guilfoylei Suppressed",0.637266724974245,"train","Frankland"
"96",4,"Non-euc Suppressed",0.650234222412109,"train","Frankland"
"97",5,"Eucalyptus diversicolor Co/dominant",0.568233235677083,"train","Frankland"
"98",5,"Eucalyptus diversicolor Suppressed",0.533622741699219,"train","Frankland"
"99",5,"Eucalyptus guilfoylei Suppressed",0.629807692307692,"train","Frankland"
"100",5,"Non-euc Suppressed",0.715801239013672,"train","Frankland"
"101",6,"Eucalyptus diversicolor Co/dominant",0.5912353515625,"train","Frankland"
"102",6,"Eucalyptus diversicolor Suppressed",0.52294667561849,"train","Frankland"
"103",6,"Eucalyptus guilfoylei Suppressed",0.644107357486264,"train","Frankland"
