,from,to,alpha,lo,hi,lo_numerical,hi_numerical,Potential,site,range_ci,size_from,size_to,species_from,species_to,size_int,georegion,region,sig,class_from,class_to,class_int
268,Hedycarya angustifolia small,Acacia melanoxylon large,0.467615711,-0.051184824,0.986416246,0.458427789,0.476803633,Potential 1,Turtons,1.03760107,small,large,Hedycarya angustifolia,Acacia melanoxylon,small_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
269,Nematolepis squamea subsp squamea large,Acacia melanoxylon large,-0.201149925,-0.886377943,0.484078093,-0.211619081,-0.190680769,Potential 1,Turtons,1.370456036,large,large,Nematolepis squamea,Acacia melanoxylon,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
270,Nematolepis squamea subsp squamea small,Acacia melanoxylon large,0.02587172,-0.329471807,0.381215247,0.018890986,0.032852454,Potential 1,Turtons,0.710687055,small,large,Nematolepis squamea,Acacia melanoxylon,small_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
271,Olearia argophylla large,Acacia melanoxylon large,0.133886799,-0.639755134,0.907528733,0.125205517,0.142568082,Potential 1,Turtons,1.547283866,large,large,Olearia argophylla,Acacia melanoxylon,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
272,Olearia argophylla small,Acacia melanoxylon large,0.168367402,-0.246997708,0.583732511,0.16050931,0.176225493,Potential 1,Turtons,0.830730219,small,large,Olearia argophylla,Acacia melanoxylon,small_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
273,Acacia melanoxylon small,Acacia melanoxylon small,0.110379106,-0.163377521,0.384135733,0.103120994,0.117637218,Potential 1,Turtons,0.547513254,small,small,Acacia melanoxylon,Acacia melanoxylon,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
274,Eucalyptus regnans large,Acacia melanoxylon small,0.049296472,-0.775660702,0.874253646,0.037924013,0.060668931,Potential 1,Turtons,1.649914348,large,small,Eucalyptus regnans,Acacia melanoxylon,large_small,S_VIC,SE_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
275,Eucalyptus regnans small,Acacia melanoxylon small,-0.010489649,-0.353937937,0.332958639,-0.016015205,-0.004964093,Potential 1,Turtons,0.686896577,small,small,Eucalyptus regnans,Acacia melanoxylon,small_small,S_VIC,SE_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
276,Hedycarya angustifolia large,Acacia melanoxylon small,-0.176215788,-0.542953976,0.1905224,-0.182619569,-0.169812007,Potential 1,Turtons,0.733476377,large,small,Hedycarya angustifolia,Acacia melanoxylon,large_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
277,Hedycarya angustifolia small,Acacia melanoxylon small,0.135546976,-0.056299604,0.327393555,0.131177942,0.139916009,Potential 1,Turtons,0.383693159,small,small,Hedycarya angustifolia,Acacia melanoxylon,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
278,Nematolepis squamea subsp squamea large,Acacia melanoxylon small,-0.038358699,-0.364645416,0.287928018,-0.04403844,-0.032678958,Potential 1,Turtons,0.652573433,large,small,Nematolepis squamea,Acacia melanoxylon,large_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
279,Nematolepis squamea subsp squamea small,Acacia melanoxylon small,-0.061726142,-0.272604648,0.149152365,-0.065936986,-0.057515297,Potential 1,Turtons,0.421757013,small,small,Nematolepis squamea,Acacia melanoxylon,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
280,Olearia argophylla large,Acacia melanoxylon small,-0.154944648,-0.481922521,0.172033224,-0.160604489,-0.149284807,Potential 1,Turtons,0.653955744,large,small,Olearia argophylla,Acacia melanoxylon,large_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
281,Olearia argophylla small,Acacia melanoxylon small,0.145971487,-0.065888686,0.35783166,0.140456371,0.151486603,Potential 1,Turtons,0.423720346,small,small,Olearia argophylla,Acacia melanoxylon,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
282,Eucalyptus regnans large,Eucalyptus regnans large,-3.306947415,-5.744081407,-0.869813422,-3.344149022,-3.269745808,Potential 1,Turtons,4.874267985,large,large,Eucalyptus regnans,Eucalyptus regnans,large_large,S_VIC,SE_AUS,1,Canopy,Canopy,Canopy_Canopy
283,Eucalyptus regnans small,Eucalyptus regnans large,0.91931546,-0.118155006,1.956785926,0.901960843,0.936670077,Potential 1,Turtons,2.074940932,small,large,Eucalyptus regnans,Eucalyptus regnans,small_large,S_VIC,SE_AUS,NA,Canopy,Canopy,Canopy_Canopy
284,Hedycarya angustifolia large,Eucalyptus regnans large,0.580842413,-0.324377329,1.486062156,0.5666302,0.595054627,Potential 1,Turtons,1.810439485,large,large,Hedycarya angustifolia,Eucalyptus regnans,large_large,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
285,Hedycarya angustifolia small,Eucalyptus regnans large,-0.292216586,-0.712462177,0.128029004,-0.300621298,-0.283811875,Potential 1,Turtons,0.84049118,small,large,Hedycarya angustifolia,Eucalyptus regnans,small_large,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
286,Nematolepis squamea subsp squamea large,Eucalyptus regnans large,0.383577573,-0.594378765,1.361533911,0.369734077,0.397421069,Potential 1,Turtons,1.955912676,large,large,Nematolepis squamea,Eucalyptus regnans,large_large,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
287,Nematolepis squamea subsp squamea small,Eucalyptus regnans large,-0.023614871,-0.582080137,0.534850395,-0.033271418,-0.013958324,Potential 1,Turtons,1.116930532,small,large,Nematolepis squamea,Eucalyptus regnans,small_large,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
288,Olearia argophylla large,Eucalyptus regnans large,-0.710495354,-1.629454784,0.208464077,-0.725254403,-0.695736305,Potential 1,Turtons,1.837918861,large,large,Olearia argophylla,Eucalyptus regnans,large_large,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
289,Olearia argophylla small,Eucalyptus regnans large,0.557893189,-0.177358691,1.29314507,0.544451342,0.571335037,Potential 1,Turtons,1.470503761,small,large,Olearia argophylla,Eucalyptus regnans,small_large,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
290,Eucalyptus regnans small,Eucalyptus regnans small,-0.718835743,-1.617781957,0.180110472,-0.730994618,-0.706676868,Potential 1,Turtons,1.797892429,small,small,Eucalyptus regnans,Eucalyptus regnans,small_small,S_VIC,SE_AUS,NA,Canopy,Canopy,Canopy_Canopy
291,Hedycarya angustifolia large,Eucalyptus regnans small,-0.051488675,-0.52486782,0.42189047,-0.059077434,-0.043899916,Potential 1,Turtons,0.94675829,large,small,Hedycarya angustifolia,Eucalyptus regnans,large_small,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
292,Hedycarya angustifolia small,Eucalyptus regnans small,0.09747887,-0.169496198,0.364453938,0.092831285,0.102126455,Potential 1,Turtons,0.533950136,small,small,Hedycarya angustifolia,Eucalyptus regnans,small_small,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
293,Nematolepis squamea subsp squamea large,Eucalyptus regnans small,-0.063806252,-0.509952803,0.382340298,-0.071511891,-0.056100614,Potential 1,Turtons,0.892293101,large,small,Nematolepis squamea,Eucalyptus regnans,large_small,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
294,Nematolepis squamea subsp squamea small,Eucalyptus regnans small,0.090166398,-0.208253069,0.388585865,0.084216425,0.096116371,Potential 1,Turtons,0.596838934,small,small,Nematolepis squamea,Eucalyptus regnans,small_small,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
295,Olearia argophylla large,Eucalyptus regnans small,0.360924435,-0.134307002,0.856155873,0.353270336,0.368578535,Potential 1,Turtons,0.990462875,large,small,Olearia argophylla,Eucalyptus regnans,large_small,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
296,Olearia argophylla small,Eucalyptus regnans small,-0.188897122,-0.54221866,0.164424416,-0.195444588,-0.182349656,Potential 1,Turtons,0.706643076,small,small,Olearia argophylla,Eucalyptus regnans,small_small,S_VIC,SE_AUS,NA,Canopy,Subcanopy,Subcanopy_Canopy
297,Hedycarya angustifolia large,Hedycarya angustifolia large,-0.380699688,-1.164432039,0.403032663,-0.390899778,-0.370499597,Potential 1,Turtons,1.567464702,large,large,Hedycarya angustifolia,Hedycarya angustifolia,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
298,Hedycarya angustifolia small,Hedycarya angustifolia large,0.362802086,-0.030752534,0.756356706,0.354819967,0.370784205,Potential 1,Turtons,0.78710924,small,large,Hedycarya angustifolia,Hedycarya angustifolia,small_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
299,Nematolepis squamea subsp squamea large,Hedycarya angustifolia large,-0.211349402,-0.881431891,0.458733088,-0.220362605,-0.202336198,Potential 1,Turtons,1.340164979,large,large,Nematolepis squamea,Hedycarya angustifolia,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
300,Nematolepis squamea subsp squamea small,Hedycarya angustifolia large,-0.336637311,-0.760625311,0.087350689,-0.343143056,-0.330131565,Potential 1,Turtons,0.847976,small,large,Nematolepis squamea,Hedycarya angustifolia,small_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
301,Olearia argophylla large,Hedycarya angustifolia large,-0.536254934,-1.178052338,0.105542469,-0.545653165,-0.526856704,Potential 1,Turtons,1.283594806,large,large,Olearia argophylla,Hedycarya angustifolia,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
302,Olearia argophylla small,Hedycarya angustifolia large,0.19039632,-0.21476614,0.595558781,0.18269321,0.19809943,Potential 1,Turtons,0.81032492,small,large,Olearia argophylla,Hedycarya angustifolia,small_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
303,Hedycarya angustifolia small,Hedycarya angustifolia small,0.019945775,-0.215350844,0.255242394,0.011583234,0.028308316,Potential 1,Turtons,0.470593238,small,small,Hedycarya angustifolia,Hedycarya angustifolia,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
304,Nematolepis squamea subsp squamea large,Hedycarya angustifolia small,-0.06536341,-0.334002362,0.203275542,-0.069576053,-0.061150767,Potential 1,Turtons,0.537277905,large,small,Nematolepis squamea,Hedycarya angustifolia,large_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
305,Nematolepis squamea subsp squamea small,Hedycarya angustifolia small,0.083011514,-0.106783525,0.272806553,0.079296998,0.08672603,Potential 1,Turtons,0.379590079,small,small,Nematolepis squamea,Hedycarya angustifolia,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
306,Olearia argophylla large,Hedycarya angustifolia small,0.065352149,-0.231032156,0.361736453,0.060672817,0.07003148,Potential 1,Turtons,0.592768609,large,small,Olearia argophylla,Hedycarya angustifolia,large_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
307,Olearia argophylla small,Hedycarya angustifolia small,-0.163809679,-0.384359121,0.056739764,-0.16814669,-0.159472667,Potential 1,Turtons,0.441098885,small,small,Olearia argophylla,Hedycarya angustifolia,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
308,Nematolepis squamea subsp squamea large,Nematolepis squamea subsp squamea large,-0.180859646,-0.616935382,0.25521609,-0.190969239,-0.170750053,Potential 1,Turtons,0.872151472,large,large,Nematolepis squamea,Nematolepis squamea,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
309,Nematolepis squamea subsp squamea small,Nematolepis squamea subsp squamea large,0.303924764,0.036508365,0.571341164,0.296755331,0.311094197,Potential 1,Turtons,0.534832799,small,large,Nematolepis squamea,Nematolepis squamea,small_large,S_VIC,SE_AUS,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
310,Olearia argophylla large,Nematolepis squamea subsp squamea large,0.099361789,-0.341534556,0.540258134,0.093164836,0.105558741,Potential 1,Turtons,0.88179269,large,large,Olearia argophylla,Nematolepis squamea,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
311,Olearia argophylla small,Nematolepis squamea subsp squamea large,-0.172125673,-0.468289891,0.124038545,-0.178339199,-0.165912148,Potential 1,Turtons,0.592328437,small,large,Olearia argophylla,Nematolepis squamea,small_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
312,Nematolepis squamea subsp squamea small,Nematolepis squamea subsp squamea small,0.137727238,-0.066330438,0.341784915,0.12997934,0.145475137,Potential 1,Turtons,0.408115353,small,small,Nematolepis squamea,Nematolepis squamea,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
313,Olearia argophylla large,Nematolepis squamea subsp squamea small,-0.281186574,-0.591232214,0.028859066,-0.286373718,-0.27599943,Potential 1,Turtons,0.62009128,large,small,Olearia argophylla,Nematolepis squamea,large_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
314,Olearia argophylla small,Nematolepis squamea subsp squamea small,0.17692561,-0.035228619,0.389079839,0.172061154,0.181790066,Potential 1,Turtons,0.424308458,small,small,Olearia argophylla,Nematolepis squamea,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
315,Olearia argophylla large,Olearia argophylla large,-0.342843282,-0.931824564,0.246137999,-0.352740771,-0.332945794,Potential 1,Turtons,1.177962564,large,large,Olearia argophylla,Olearia argophylla,large_large,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
316,Olearia argophylla small,Olearia argophylla large,0.392313196,0.02519837,0.759428021,0.383906033,0.400720358,Potential 1,Turtons,0.734229651,small,large,Olearia argophylla,Olearia argophylla,small_large,S_VIC,SE_AUS,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
317,Olearia argophylla small,Olearia argophylla small,0.148561419,-0.136606981,0.433729818,0.139953218,0.157169619,Potential 1,Turtons,0.570336798,small,small,Olearia argophylla,Olearia argophylla,small_small,S_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
318,Acacia melanoxylon large,Acacia melanoxylon large,-0.333725178,-1.167388317,0.499937962,-0.339487746,-0.32796261,Potential 1,HardyCreek,1.667326279,large,large,Acacia melanoxylon,Acacia melanoxylon,large_large,N_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
319,Acacia melanoxylon small,Acacia melanoxylon large,0.337140054,-0.173289251,0.847569359,0.331748379,0.342531729,Potential 1,HardyCreek,1.02085861,small,large,Acacia melanoxylon,Acacia melanoxylon,small_large,N_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
320,Eucalyptus regnans large,Acacia melanoxylon large,-0.432148571,-1.035766313,0.17146917,-0.438800703,-0.42549644,Potential 1,HardyCreek,1.207235483,large,large,Eucalyptus regnans,Acacia melanoxylon,large_large,N_VIC,SE_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
321,Eucalyptus regnans small,Acacia melanoxylon large,0.011197173,-0.261340176,0.283734521,0.007535611,0.014858734,Potential 1,HardyCreek,0.545074696,small,large,Eucalyptus regnans,Acacia melanoxylon,small_large,N_VIC,SE_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
322,Acacia melanoxylon small,Acacia melanoxylon small,-0.198388941,-0.628776265,0.231998382,-0.204395352,-0.19238253,Potential 1,HardyCreek,0.860774646,small,small,Acacia melanoxylon,Acacia melanoxylon,small_small,N_VIC,SE_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
323,Eucalyptus regnans large,Acacia melanoxylon small,0.42988228,0.027771974,0.831992586,0.423669973,0.436094587,Potential 1,HardyCreek,0.804220611,large,small,Eucalyptus regnans,Acacia melanoxylon,large_small,N_VIC,SE_AUS,1,Subcanopy,Canopy,Canopy_Subcanopy
324,Eucalyptus regnans small,Acacia melanoxylon small,0.018946215,-0.161501126,0.199393556,0.015332216,0.022560215,Potential 1,HardyCreek,0.360894682,small,small,Eucalyptus regnans,Acacia melanoxylon,small_small,N_VIC,SE_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
325,Eucalyptus regnans large,Eucalyptus regnans large,-0.716707714,-1.449418657,0.016003229,-0.72997839,-0.703437039,Potential 1,HardyCreek,1.465421886,large,large,Eucalyptus regnans,Eucalyptus regnans,large_large,N_VIC,SE_AUS,NA,Canopy,Canopy,Canopy_Canopy
326,Eucalyptus regnans small,Eucalyptus regnans large,-0.026503604,-0.262526716,0.209519509,-0.031211016,-0.021796191,Potential 1,HardyCreek,0.472046225,small,large,Eucalyptus regnans,Eucalyptus regnans,small_large,N_VIC,SE_AUS,NA,Canopy,Canopy,Canopy_Canopy
327,Eucalyptus regnans small,Eucalyptus regnans small,0.111519703,-0.069907494,0.292946901,0.105617253,0.117422154,Potential 1,HardyCreek,0.362854396,small,small,Eucalyptus regnans,Eucalyptus regnans,small_small,N_VIC,SE_AUS,NA,Canopy,Canopy,Canopy_Canopy
328,Allocasuarina torulosa large,Allocasuarina torulosa large,0.091538126,-0.101931366,0.285007619,0.087474339,0.095601914,Potential 1,MinesRd,0.386938985,large,large,Allocasuarina torulosa,Allocasuarina torulosa,large_large,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
329,Allocasuarina torulosa small,Allocasuarina torulosa large,-0.013151372,-0.082413051,0.056110306,-0.014801117,-0.011501628,Potential 1,MinesRd,0.138523357,small,large,Allocasuarina torulosa,Allocasuarina torulosa,small_large,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
330,Eucalyptus pilularis large,Allocasuarina torulosa large,0.053877955,-0.135130404,0.242886315,0.051325333,0.056430578,Potential 1,MinesRd,0.378016719,large,large,Eucalyptus pilularis,Allocasuarina torulosa,large_large,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
331,Eucalyptus pilularis small,Allocasuarina torulosa large,0.057043213,-0.079553937,0.193640363,0.054125251,0.059961174,Potential 1,MinesRd,0.2731943,small,large,Eucalyptus pilularis,Allocasuarina torulosa,small_large,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
332,Allocasuarina torulosa small,Allocasuarina torulosa small,0.431768365,0.311595865,0.551940866,0.42263093,0.4409058,Potential 1,MinesRd,0.240345001,small,small,Allocasuarina torulosa,Allocasuarina torulosa,small_small,N_NSW,N_AUS,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
333,Eucalyptus pilularis large,Allocasuarina torulosa small,-0.008598419,-0.08731362,0.070116781,-0.010007621,-0.007189218,Potential 1,MinesRd,0.157430401,large,small,Eucalyptus pilularis,Allocasuarina torulosa,large_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
334,Eucalyptus pilularis small,Allocasuarina torulosa small,-0.047419711,-0.099128748,0.004289327,-0.049663236,-0.045176185,Potential 1,MinesRd,0.103418075,small,small,Eucalyptus pilularis,Allocasuarina torulosa,small_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
335,Eucalyptus pilularis large,Eucalyptus pilularis large,-0.054576394,-0.420284951,0.311132163,-0.05907671,-0.050076078,Potential 1,MinesRd,0.731417114,large,large,Eucalyptus pilularis,Eucalyptus pilularis,large_large,N_NSW,N_AUS,NA,Canopy,Canopy,Canopy_Canopy
336,Eucalyptus pilularis small,Eucalyptus pilularis large,-0.150761479,-0.390191279,0.088668322,-0.153813191,-0.147709767,Potential 1,MinesRd,0.478859602,small,large,Eucalyptus pilularis,Eucalyptus pilularis,small_large,N_NSW,N_AUS,NA,Canopy,Canopy,Canopy_Canopy
337,Eucalyptus pilularis small,Eucalyptus pilularis small,0.187175857,-0.072893517,0.447245232,0.180381344,0.193970371,Potential 1,MinesRd,0.520138749,small,small,Eucalyptus pilularis,Eucalyptus pilularis,small_small,N_NSW,N_AUS,NA,Canopy,Canopy,Canopy_Canopy
338,Allocasuarina torulosa large,Allocasuarina torulosa large,0.113352217,-0.149898465,0.3766029,0.107340307,0.119364127,Potential 1,Lorne,0.526501365,large,large,Allocasuarina torulosa,Allocasuarina torulosa,large_large,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
339,Allocasuarina torulosa small,Allocasuarina torulosa large,-0.064005331,-0.245990457,0.117979794,-0.067134104,-0.060876559,Potential 1,Lorne,0.363970251,small,large,Allocasuarina torulosa,Allocasuarina torulosa,small_large,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
340,Cryptocarya glaucescens small,Allocasuarina torulosa large,0.11321218,-0.194997815,0.421422175,0.108852812,0.117571548,Potential 1,Lorne,0.616419989,small,large,Cryptocarya glaucescens,Allocasuarina torulosa,small_large,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
341,Cryptocarya rigida small,Allocasuarina torulosa large,0.13453828,-0.126441793,0.395518354,0.130245024,0.138831537,Potential 1,Lorne,0.521960146,small,large,Cryptocarya rigida,Allocasuarina torulosa,small_large,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
342,Eucalyptus microcorys large,Allocasuarina torulosa large,-0.156497419,-0.374586994,0.061592156,-0.160433487,-0.152561352,Potential 1,Lorne,0.43617915,large,large,Eucalyptus microcorys,Allocasuarina torulosa,large_large,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
343,Eucalyptus microcorys small,Allocasuarina torulosa large,0.045773504,-0.102776721,0.19432373,0.042601447,0.048945561,Potential 1,Lorne,0.297100451,small,large,Eucalyptus microcorys,Allocasuarina torulosa,small_large,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
344,Eucalyptus pilularis large,Allocasuarina torulosa large,0.212563381,-0.220675487,0.645802249,0.206588521,0.218538241,Potential 1,Lorne,0.866477736,large,large,Eucalyptus pilularis,Allocasuarina torulosa,large_large,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
345,Eucalyptus pilularis small,Allocasuarina torulosa large,-0.364852957,-0.699714822,-0.029991093,-0.369812601,-0.359893314,Potential 1,Lorne,0.669723728,small,large,Eucalyptus pilularis,Allocasuarina torulosa,small_large,N_NSW,N_AUS,1,Subcanopy,Canopy,Canopy_Subcanopy
346,Allocasuarina torulosa small,Allocasuarina torulosa small,0.091847433,-0.158955089,0.342649954,0.086127502,0.097567364,Potential 1,Lorne,0.501605042,small,small,Allocasuarina torulosa,Allocasuarina torulosa,small_small,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
347,Cryptocarya glaucescens small,Allocasuarina torulosa small,-0.062263321,-0.295344221,0.170817579,-0.065479793,-0.059046849,Potential 1,Lorne,0.466161799,small,small,Cryptocarya glaucescens,Allocasuarina torulosa,small_small,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
348,Cryptocarya rigida small,Allocasuarina torulosa small,0.060455246,-0.134852145,0.255762637,0.057479928,0.063430564,Potential 1,Lorne,0.390614782,small,small,Cryptocarya rigida,Allocasuarina torulosa,small_small,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
349,Eucalyptus microcorys large,Allocasuarina torulosa small,-0.188800389,-0.41194834,0.034347562,-0.192920707,-0.184680071,Potential 1,Lorne,0.446295902,large,small,Eucalyptus microcorys,Allocasuarina torulosa,large_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
350,Eucalyptus microcorys small,Allocasuarina torulosa small,0.076759767,-0.063789809,0.217309342,0.073832196,0.079687338,Potential 1,Lorne,0.281099151,small,small,Eucalyptus microcorys,Allocasuarina torulosa,small_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
351,Eucalyptus pilularis large,Allocasuarina torulosa small,0.123121982,-0.234349329,0.480593293,0.118542555,0.127701409,Potential 1,Lorne,0.714942622,large,small,Eucalyptus pilularis,Allocasuarina torulosa,large_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
352,Eucalyptus pilularis small,Allocasuarina torulosa small,-0.101979134,-0.343828637,0.139870368,-0.105624961,-0.098333308,Potential 1,Lorne,0.483699005,small,small,Eucalyptus pilularis,Allocasuarina torulosa,small_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
353,Cryptocarya glaucescens small,Cryptocarya glaucescens small,-0.45594981,-1.252877076,0.340977457,-0.465139501,-0.446760118,Potential 1,Lorne,1.593854533,small,small,Cryptocarya glaucescens,Cryptocarya glaucescens,small_small,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
354,Cryptocarya rigida small,Cryptocarya glaucescens small,-0.047261902,-0.332452704,0.237928901,-0.051152839,-0.043370964,Potential 1,Lorne,0.570381605,small,small,Cryptocarya rigida,Cryptocarya glaucescens,small_small,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
355,Eucalyptus microcorys large,Cryptocarya glaucescens small,-0.196034577,-0.672213286,0.280144133,-0.202059516,-0.190009638,Potential 1,Lorne,0.952357419,large,small,Eucalyptus microcorys,Cryptocarya glaucescens,large_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
356,Eucalyptus microcorys small,Cryptocarya glaucescens small,0.131874652,-0.1418839,0.405633204,0.127616448,0.136132856,Potential 1,Lorne,0.547517105,small,small,Eucalyptus microcorys,Cryptocarya glaucescens,small_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
357,Eucalyptus pilularis large,Cryptocarya glaucescens small,0.097993259,-0.364513786,0.560500303,0.092319819,0.103666699,Potential 1,Lorne,0.925014089,large,small,Eucalyptus pilularis,Cryptocarya glaucescens,large_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
358,Eucalyptus pilularis small,Cryptocarya glaucescens small,0.106932664,-0.340319544,0.554184873,0.100143036,0.113722292,Potential 1,Lorne,0.894504418,small,small,Eucalyptus pilularis,Cryptocarya glaucescens,small_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
359,Cryptocarya rigida small,Cryptocarya rigida small,-0.024245081,-0.391600498,0.343110337,-0.02969209,-0.018798071,Potential 1,Lorne,0.734710836,small,small,Cryptocarya rigida,Cryptocarya rigida,small_small,N_NSW,N_AUS,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
360,Eucalyptus microcorys large,Cryptocarya rigida small,0.174683156,-0.086802656,0.436168969,0.170768394,0.178597918,Potential 1,Lorne,0.522971625,large,small,Eucalyptus microcorys,Cryptocarya rigida,large_small,N_NSW,N_AUS,NA,Subcanopy,Canopy,Canopy_Subcanopy
