,from,to,alpha,lo,hi,lo_numerical,hi_numerical,Potential,site,range_ci,size_from,size_to,species_from,species_to,size_int,georegion,region,sig,class_from,class_to,class_int
19,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.444269916,-0.887045216,-0.001494617,-0.452220371,-0.436319462,Potential 1,Collins,0.885550599,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy
20,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.021499324,-0.226828308,0.18382966,-0.023816009,-0.019182639,Potential 1,Collins,0.410657968,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
21,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.337334913,0.194721508,0.479948318,0.331248216,0.34342161,Potential 1,Collins,0.28522681,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy
22,Allocasuarina decussata large,Allocasuarina decussata large,-0.25845821,-0.938006619,0.421090199,-0.263925512,-0.252990909,Potential 1,Clare,1.359096818,large,large,Allocasuarina decussata,Allocasuarina decussata,large_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
23,Allocasuarina decussata small,Allocasuarina decussata large,0.040268827,-0.213256922,0.293794577,0.037447124,0.04309053,Potential 1,Clare,0.507051499,small,large,Allocasuarina decussata,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
24,Eucalyptus jacksonii small,Allocasuarina decussata large,0.600720041,-0.198304437,1.39974452,0.592515887,0.608924195,Potential 1,Clare,1.598048956,small,large,Eucalyptus jacksonii,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
25,Allocasuarina decussata small,Allocasuarina decussata small,0.217717615,0.079564307,0.355870922,0.211279778,0.224155451,Potential 1,Clare,0.276306615,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
26,Eucalyptus jacksonii small,Allocasuarina decussata small,-0.037497026,-0.405517608,0.330523555,-0.041001646,-0.033992407,Potential 1,Clare,0.736041163,small,small,Eucalyptus jacksonii,Allocasuarina decussata,small_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
27,Eucalyptus jacksonii small,Eucalyptus jacksonii small,-0.94578204,-2.157056686,0.265492605,-0.957358929,-0.934205152,Potential 1,Clare,2.422549292,small,small,Eucalyptus jacksonii,Eucalyptus jacksonii,small_small,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
28,Acacia melanoxylon small,Acacia melanoxylon small,0.463251919,0.205446706,0.721057132,0.44417202,0.482331819,Potential 1,Sutton,0.515610426,small,small,Acacia melanoxylon,Acacia melanoxylon,small_small,N_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
29,Corymbia calophylla large,Acacia melanoxylon small,0.047796877,-0.32047699,0.416070743,0.040496731,0.055097023,Potential 1,Sutton,0.736547733,large,small,Corymbia calophylla,Acacia melanoxylon,large_small,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
30,Corymbia calophylla small,Acacia melanoxylon small,-0.000306037,-0.140681918,0.140069844,-0.003800819,0.003188746,Potential 1,Sutton,0.280751762,small,small,Corymbia calophylla,Acacia melanoxylon,small_small,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
31,Eucalyptus diversicolor large,Acacia melanoxylon small,-0.056042182,-0.189642314,0.077557949,-0.058633486,-0.053450878,Potential 1,Sutton,0.267200263,large,small,Eucalyptus diversicolor,Acacia melanoxylon,large_small,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
32,Eucalyptus diversicolor small,Acacia melanoxylon small,-0.110510507,-0.233336997,0.012315984,-0.114142753,-0.10687826,Potential 1,Sutton,0.245652982,small,small,Eucalyptus diversicolor,Acacia melanoxylon,small_small,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
33,Corymbia calophylla large,Corymbia calophylla large,-0.83792747,-2.344600681,0.66874574,-0.861731866,-0.814123075,Potential 1,Sutton,3.01334642,large,large,Corymbia calophylla,Corymbia calophylla,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
34,Corymbia calophylla small,Corymbia calophylla large,0.520428625,-0.16224365,1.203100899,0.509857754,0.530999496,Potential 1,Sutton,1.36534455,small,large,Corymbia calophylla,Corymbia calophylla,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
35,Eucalyptus diversicolor large,Corymbia calophylla large,-0.54440029,-1.164709862,0.075909282,-0.554699594,-0.534100986,Potential 1,Sutton,1.240619144,large,large,Eucalyptus diversicolor,Corymbia calophylla,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
36,Eucalyptus diversicolor small,Corymbia calophylla large,-0.018916962,-0.266218779,0.228384855,-0.025455437,-0.012378488,Potential 1,Sutton,0.494603634,small,large,Eucalyptus diversicolor,Corymbia calophylla,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
37,Corymbia calophylla small,Corymbia calophylla small,0.35039057,0.070133725,0.630647415,0.339646954,0.361134187,Potential 1,Sutton,0.56051369,small,small,Corymbia calophylla,Corymbia calophylla,small_small,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy
38,Eucalyptus diversicolor large,Corymbia calophylla small,0.163323309,-0.061789447,0.388436065,0.159428619,0.167217999,Potential 1,Sutton,0.450225512,large,small,Eucalyptus diversicolor,Corymbia calophylla,large_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
