"","from","to","value","lo","hi","Site","Genus_from","Genus_to"
"110","Eucalyptus regnans Intermediate","Acacia melanoxylon Suppressed",0.034484391477805,-0.120190130724551,0.189158913680161,"Ada Tree","Eucalyptus","Acacia"
"111","Eucalyptus regnans Suppressed","Acacia melanoxylon Suppressed",0.129499076262639,-0.0669490566028489,0.325947209128128,"Ada Tree","Eucalyptus","Acacia"
"112","Misc Suppressed","Acacia melanoxylon Suppressed",-0.275788739270806,-0.467980804840452,-0.0835966737011596,"Ada Tree","Misc","Acacia"
"113","Acacia melanoxylon Suppressed","Eucalyptus regnans Co-dominant",0.145495605517677,-0.0241452385767576,0.315136449612112,"Ada Tree","Acacia","Eucalyptus"
"114","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.856449769721404,-1.39778982584029,-0.315109713602518,"Ada Tree","Eucalyptus","Eucalyptus"
"115","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.771495609645443,-1.43892840493232,-0.104062814358569,"Ada Tree","Eucalyptus","Eucalyptus"
"116","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.217187733118452,-0.557462378638596,0.123086912401692,"Ada Tree","Eucalyptus","Eucalyptus"
"117","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",-0.342772311306291,-0.804948751621751,0.119404129009169,"Ada Tree","Eucalyptus","Eucalyptus"
"118","Misc Suppressed","Eucalyptus regnans Co-dominant",0.187582553208564,-0.134081080718224,0.509246187135352,"Ada Tree","Misc","Eucalyptus"
"119","Acacia melanoxylon Suppressed","Eucalyptus regnans Dominant",0.193686703808386,-0.0597334785633007,0.447106886180073,"Ada Tree","Acacia","Eucalyptus"
"120","Eucalyptus regnans Co-dominant","Eucalyptus regnans Dominant",-0.771495609645443,-1.43892840493232,-0.104062814358569,"Ada Tree","Eucalyptus","Eucalyptus"
"121","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-1.75104890834678,-3.41044944015565,-0.0916483765379057,"Ada Tree","Eucalyptus","Eucalyptus"
"122","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",-0.27227844073426,-0.885933299436704,0.341376417968183,"Ada Tree","Eucalyptus","Eucalyptus"
