from,to,alpha,lo,hi,lo_numerical,hi_numerical,Site,class_from,class_to,species_from,species_to,class_int,dom_euc
Non-euc Suppressed,Eucalyptus Co-dominant,0.007201363,-0.119791177,0.134193904,0.003064658,0.011338069,MtField,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. delegatensis
Eucalyptus Dominant,Eucalyptus Dominant,-0.895536804,-1.842565246,0.051491639,-0.911489239,-0.879584369,MtField,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.328132477,-0.833500891,0.177235936,-0.335767427,-0.320497527,MtField,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Dominant,0.424919715,0.016908323,0.832931106,0.415151654,0.434687776,MtField,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. delegatensis
Non-euc Suppressed,Eucalyptus Dominant,0.082008926,-0.108879691,0.272897543,0.078373045,0.085644807,MtField,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Intermediate,0.116307085,-0.152326363,0.384940533,0.110956165,0.121658004,MtField,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.046783373,-0.122295739,0.215862485,0.042311178,0.051255568,MtField,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. delegatensis
Non-euc Suppressed,Eucalyptus Intermediate,0.092076191,-0.015183333,0.199335714,0.088512514,0.095639867,MtField,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Suppressed,-0.013003607,-0.202389489,0.176382276,-0.021823479,-0.004183734,MtField,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. delegatensis
Non-euc Suppressed,Eucalyptus Suppressed,-0.032745918,-0.110426387,0.044934552,-0.036964783,-0.028527052,MtField,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. delegatensis
Non-euc Suppressed,Non-euc Suppressed,0.151366474,0.022384283,0.280348664,0.135509494,0.167223454,MtField,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. delegatensis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.040954128,-0.29080098,0.208892723,-0.046820812,-0.035087445,MtMaurice,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. delegatensis
Eucalyptus Dominant,Eucalyptus Co-dominant,-0.14367068,-0.409423592,0.122082233,-0.14779791,-0.139543449,MtMaurice,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-0.150289194,-0.334935514,0.034357126,-0.15327315,-0.147305238,MtMaurice,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.001325592,-0.09955036,0.096899176,-0.004846831,0.002195647,MtMaurice,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. delegatensis
Non-euc Suppressed,Eucalyptus Co-dominant,0.011377757,-0.146893009,0.169648523,0.007536673,0.015218841,MtMaurice,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. delegatensis
Eucalyptus Dominant,Eucalyptus Dominant,-0.470841283,-0.93188068,-0.009801886,-0.478370458,-0.463312109,MtMaurice,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Dominant,0.047635143,-0.245710628,0.340980914,0.043164707,0.052105579,MtMaurice,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Dominant,0.040266378,-0.102413513,0.182946269,0.036676052,0.043856704,MtMaurice,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. delegatensis
Non-euc Suppressed,Eucalyptus Dominant,-0.15222173,-0.39354978,0.08910632,-0.156815605,-0.147627856,MtMaurice,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Intermediate,-0.076345121,-0.397328735,0.244638493,-0.081504666,-0.071185576,MtMaurice,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Intermediate,-0.018818475,-0.129239479,0.09160253,-0.022063116,-0.015573834,MtMaurice,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. delegatensis
Non-euc Suppressed,Eucalyptus Intermediate,0.110840679,-0.075626284,0.297307642,0.106100915,0.115580443,MtMaurice,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.234052449,0.11447748,0.353627418,0.223449285,0.244655613,MtMaurice,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. delegatensis
Non-euc Suppressed,Eucalyptus Suppressed,0.120169808,0.013397551,0.226942065,0.115194116,0.125145499,MtMaurice,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. delegatensis
Non-euc Suppressed,Non-euc Suppressed,0.180401696,-0.009287949,0.37009134,0.172237369,0.188566023,MtMaurice,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. delegatensis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.163636844,-0.609706985,0.282433298,-0.17584784,-0.151425847,BenRidge,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. delegatensis
Eucalyptus Dominant,Eucalyptus Co-dominant,-0.137039685,-1.080549453,0.806470083,-0.152084967,-0.121994403,BenRidge,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Co-dominant,0.086962338,-0.231028078,0.404952754,0.078846151,0.095078525,BenRidge,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.140830051,-0.261021167,-0.020638935,-0.144991138,-0.136668964,BenRidge,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. delegatensis
Non-euc Intermediate,Eucalyptus Co-dominant,-0.20848738,-0.752437177,0.335462417,-0.218236472,-0.198738288,BenRidge,Intermediate,Co-dominant,Non-euc,Eucalyptus,Intermediate_Co-dominant,E. delegatensis
Non-euc Suppressed,Eucalyptus Co-dominant,0.050785413,-0.047495608,0.149066433,0.047739924,0.053830901,BenRidge,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. delegatensis
Eucalyptus Dominant,Eucalyptus Dominant,-2.595826329,-5.734104501,0.542451843,-2.644527739,-2.547124918,BenRidge,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Dominant,0.420207042,-0.125587154,0.966001238,0.399124624,0.441289461,BenRidge,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Dominant,-0.016122,-0.378586169,0.346342169,-0.02319208,-0.00905192,BenRidge,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. delegatensis
Non-euc Intermediate,Eucalyptus Dominant,-1.051666438,-2.7086589,0.605326024,-1.075330808,-1.028002068,BenRidge,Intermediate,Dominant,Non-euc,Eucalyptus,Intermediate_Dominant,E. delegatensis
Non-euc Suppressed,Eucalyptus Dominant,0.162622667,-0.105573201,0.430818535,0.15621332,0.169032014,BenRidge,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. delegatensis
Eucalyptus Intermediate,Eucalyptus Intermediate,-0.197897995,-0.760444965,0.364648976,-0.21065112,-0.185144869,BenRidge,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.053140192,-0.068487342,0.174767725,0.048781504,0.057498879,BenRidge,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. delegatensis
Non-euc Intermediate,Eucalyptus Intermediate,0.125884594,-0.391125223,0.64289441,0.111291942,0.140477246,BenRidge,Intermediate,Intermediate,Non-euc,Eucalyptus,Intermediate_Intermediate,E. delegatensis
Non-euc Suppressed,Eucalyptus Intermediate,-0.116253199,-0.232300965,-0.000205433,-0.119846703,-0.112659694,BenRidge,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. delegatensis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.230480771,0.129001826,0.331959716,0.219999743,0.240961799,BenRidge,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. delegatensis
Non-euc Intermediate,Eucalyptus Suppressed,0.013239361,-0.159406641,0.185885362,0.0064765,0.020002222,BenRidge,Intermediate,Suppressed,Non-euc,Eucalyptus,Intermediate_Suppressed,E. delegatensis
Non-euc Suppressed,Eucalyptus Suppressed,-0.015328871,-0.056914117,0.026256376,-0.018140936,-0.012516806,BenRidge,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. delegatensis
Non-euc Intermediate,Non-euc Intermediate,0.470571316,-0.236661076,1.177803708,0.439996091,0.501146542,BenRidge,Intermediate,Intermediate,Non-euc,Non-euc,Intermediate_Intermediate,E. delegatensis
Non-euc Suppressed,Non-euc Intermediate,-0.185366054,-0.45811484,0.087382732,-0.193670921,-0.177061187,BenRidge,Suppressed,Intermediate,Non-euc,Non-euc,Suppressed_Intermediate,E. delegatensis
Non-euc Suppressed,Non-euc Suppressed,0.251625976,0.163475235,0.339776717,0.240291835,0.262960117,BenRidge,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. delegatensis
