"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","class_from","class_to","species_from","species_to","range_ci","region","sig"
"334","Baldy","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.0355529452551022,-0.183642464748152,0.254748355258356,0.0320203819463149,0.0390855085638896,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.438390820006508,"QLD",NA
"424","Baldy","Non-euc Intermediate","Eucalyptus Co/dominant",-0.292192181722011,-0.658866861649312,0.0744824982052906,-0.296956239898675,-0.287428123545346,"Potential 1","Intermediate","Co/dominant","Non-euc","Eucalyptus",0.733349359854603,"QLD",NA
"515","Baldy","Non-euc Suppressed","Eucalyptus Co/dominant",-0.00778299037432107,-0.153416178754591,0.137850198005949,-0.0109567931186717,-0.00460918762997048,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.29126637676054,"QLD",NA
"722","Baldy","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.196213985690767,-1.05909263445852,0.666664663076982,-0.205952148727967,-0.186475822653566,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",1.7257572975355,"QLD",NA
"823","Baldy","Eucalyptus Suppressed","Eucalyptus Intermediate",0.146898275272931,-0.198613218937934,0.492409769483797,0.141932024302467,0.151864526243396,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.691022988421731,"QLD",NA
"915","Baldy","Non-euc Intermediate","Eucalyptus Intermediate",0.187204947957765,-0.307258290629541,0.681668186545071,0.180203304259812,0.194206591655718,"Potential 1","Intermediate","Intermediate","Non-euc","Eucalyptus",0.988926477174612,"QLD",NA
"104","Baldy","Non-euc Suppressed","Eucalyptus Intermediate",0.127019723038491,-0.0790238599917865,0.333063306068769,0.122044917149365,0.131994528927617,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.412087166060556,"QLD",NA
"1313","Baldy","Eucalyptus Suppressed","Eucalyptus Suppressed",0.189009277437303,-0.0531434795016759,0.431162034376282,0.183731229220802,0.194287325653804,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.484305513877958,"QLD",NA
"1412","Baldy","Non-euc Intermediate","Eucalyptus Suppressed",-0.195472221158058,-0.572015787459406,0.181071345143289,-0.200092733668156,-0.190851708647961,"Potential 1","Intermediate","Suppressed","Non-euc","Eucalyptus",0.753087132602695,"QLD",NA
"157","Baldy","Non-euc Suppressed","Eucalyptus Suppressed",-0.0660214410030397,-0.203399303932957,0.0713564219268774,-0.0692646065894296,-0.0627782754166498,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.274755725859834,"QLD",NA
"194","Baldy","Non-euc Intermediate","Non-euc Intermediate",0.197630887234203,-0.310352143125725,0.70561391759413,0.188389878030018,0.206871896438387,"Potential 1","Intermediate","Intermediate","Non-euc","Non-euc",1.01596606071985,"QLD",NA
"203","Baldy","Non-euc Suppressed","Non-euc Intermediate",0.0547374876510508,-0.124448846331069,0.23392382163317,0.0480961076352093,0.0613788676668923,"Potential 1","Suppressed","Intermediate","Non-euc","Non-euc",0.358372667964239,"QLD",NA
"254","Baldy","Non-euc Suppressed","Non-euc Suppressed",0.331734756071352,0.241172230672408,0.422297281470297,0.322552885855753,0.340916626286952,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.181125050797889,"QLD",1
"158","Koombooloomba","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.397161011145104,-0.847805779562084,0.0534837572718759,-0.406512735634556,-0.387809286655652,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.90128953683396,"QLD",NA
"239","Koombooloomba","Eucalyptus Intermediate","Eucalyptus Co/dominant",-0.191150361047397,-0.444566133299693,0.0622654112048982,-0.196213454456336,-0.186087267638459,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.506831544504591,"QLD",NA
"335","Koombooloomba","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.473976022986884,-0.0734798343991465,1.02143188037291,0.465005981911528,0.48294606406224,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",1.09491171477206,"QLD",NA
"425","Koombooloomba","Non-euc Intermediate","Eucalyptus Co/dominant",-0.0778035303319943,-0.178348345122981,0.0227412844589918,-0.0801725799606175,-0.0754344807033711,"Potential 1","Intermediate","Co/dominant","Non-euc","Eucalyptus",0.201089629581972,"QLD",NA
"516","Koombooloomba","Non-euc Suppressed","Eucalyptus Co/dominant",0.0471709043965248,-0.115850670698947,0.210192479491997,0.0425212581247691,0.0518205506682804,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.326043150190944,"QLD",NA
"723","Koombooloomba","Eucalyptus Intermediate","Eucalyptus Intermediate",0.118544199704049,-0.173931957993224,0.411020357401321,0.111006420863959,0.126081978544138,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.584952315394544,"QLD",NA
"824","Koombooloomba","Eucalyptus Suppressed","Eucalyptus Intermediate",0.534860903119214,0.0603906046341984,1.00933120160423,0.524510245462027,0.545211560776402,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.948940596970032,"QLD",1
"916","Koombooloomba","Non-euc Intermediate","Eucalyptus Intermediate",-0.0200171349842224,-0.0903927527531835,0.0503584827847388,-0.0226260829198275,-0.0174081870486173,"Potential 1","Intermediate","Intermediate","Non-euc","Eucalyptus",0.140751235537922,"QLD",NA
"105","Koombooloomba","Non-euc Suppressed","Eucalyptus Intermediate",0.00107222848931833,-0.140093414412075,0.142237871390712,-0.0037128461617815,0.00585730314041816,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.282331285802787,"QLD",NA
"1314","Koombooloomba","Eucalyptus Suppressed","Eucalyptus Suppressed",-0.689177093847573,-2.02198962035945,0.6436354326643,-0.71054080138464,-0.667813386310505,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",2.66562505302375,"QLD",NA
"1413","Koombooloomba","Non-euc Intermediate","Eucalyptus Suppressed",0.0401044474548667,-0.192228171688514,0.272437066598248,0.0363317697778059,0.0438771251319274,"Potential 1","Intermediate","Suppressed","Non-euc","Eucalyptus",0.464665238286762,"QLD",NA
"159","Koombooloomba","Non-euc Suppressed","Eucalyptus Suppressed",0.0965013705628182,-0.309722992062987,0.502725733188623,0.0879875452930305,0.105015195832606,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.81244872525161,"QLD",NA
"195","Koombooloomba","Non-euc Intermediate","Non-euc Intermediate",0.267904834566872,0.169848519250612,0.365961149883131,0.260344726232777,0.275464942900966,"Potential 1","Intermediate","Intermediate","Non-euc","Non-euc",0.19611263063252,"QLD",1
"204","Koombooloomba","Non-euc Suppressed","Non-euc Intermediate",0.0227969685118005,-0.0307620376167054,0.0763559746403064,0.0198471816833345,0.0257467553402665,"Potential 1","Suppressed","Intermediate","Non-euc","Non-euc",0.107118012257012,"QLD",NA
"255","Koombooloomba","Non-euc Suppressed","Non-euc Suppressed",0.273676301089099,0.11699985085507,0.430352751323128,0.264715382890565,0.282637219287632,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.313352900468058,"QLD",1
"160","BlackRiver","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.609663068712961,-0.985563654195769,-0.233762483230154,-0.621710358081853,-0.59761577934407,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.751801170965616,"King_TAS",1
"240","BlackRiver","Eucalyptus Intermediate","Eucalyptus Co/dominant",-0.145767926785282,-0.321259895255887,0.029724041685324,-0.149997608336935,-0.141538245233629,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.350983936941211,"King_TAS",NA
"336","BlackRiver","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.232186472938106,0.0209045043832028,0.44346844149301,0.226241908587239,0.238131037288974,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.422563937109807,"King_TAS",1
"426","BlackRiver","Non-euc Suppressed","Eucalyptus Co/dominant",-0.0305510422635617,-0.107931309171776,0.0468292246446523,-0.033507298519879,-0.0275947860072445,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.154760533816428,"King_TAS",NA
"631","BlackRiver","Eucalyptus Intermediate","Eucalyptus Intermediate",0.0173376496904754,-0.181213007940931,0.215888307321881,0.0127672398614037,0.0219080595195471,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.397101315262812,"King_TAS",NA
"724","BlackRiver","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.00228976673137116,-0.150168248802473,0.145588715339731,-0.00516857959629083,0.00058904613354852,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.295756964142204,"King_TAS",NA
"825","BlackRiver","Non-euc Suppressed","Eucalyptus Intermediate",0.0143717122488547,-0.0480281706805119,0.0767715951782213,0.0121096124486063,0.0166338120491031,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.124799765858733,"King_TAS",NA
"1123","BlackRiver","Eucalyptus Suppressed","Eucalyptus Suppressed",0.173411152593407,-0.0133216308846,0.360143936071413,0.167808694953359,0.179013610233454,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.373465566956013,"King_TAS",NA
"1222","BlackRiver","Non-euc Suppressed","Eucalyptus Suppressed",-0.0351682452727684,-0.0966055483550831,0.0262690578095463,-0.0371946742368139,-0.033141816308723,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.122874606164629,"King_TAS",NA
"1620","BlackRiver","Non-euc Suppressed","Non-euc Suppressed",0.10317014637383,-0.0119753874645658,0.218315680212225,0.0909254764588339,0.115414816288825,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.230291067676791,"King_TAS",NA
"170","BondTier","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.0778982596017097,-0.339843362063551,0.184046842860131,-0.0829261441186754,-0.072870375084744,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.523890204923682,"King_TAS",NA
"242","BondTier","Eucalyptus Intermediate","Eucalyptus Co/dominant",-0.00622121888770399,-0.489362160975235,0.476919723199828,-0.013536551913956,0.00109411413854806,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.966281884175063,"King_TAS",NA
"337","BondTier","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.208825431925274,-0.342438144096317,0.760089007946865,0.197861070549764,0.219789793300784,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",1.10252715204318,"King_TAS",NA
"427","BondTier","Non-euc Suppressed","Eucalyptus Co/dominant",-0.0158167065281124,-0.0797297681030985,0.0480963550468737,-0.0178918243553327,-0.013741588700892,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.127826123149972,"King_TAS",NA
"632","BondTier","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.970129621437463,-2.88146999037053,0.941210747495606,-1.00327848961534,-0.93698075325958,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",3.82268073786614,"King_TAS",NA
"725","BondTier","Eucalyptus Suppressed","Eucalyptus Intermediate",1.30449864956072,-0.277279707226479,2.88627700634793,1.27551249512725,1.3334848039942,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",3.1635567135744,"King_TAS",NA
"826","BondTier","Non-euc Suppressed","Eucalyptus Intermediate",-0.0377536012133493,-0.18629901811753,0.110791815690831,-0.0415184140488063,-0.0339887883778923,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.297090833808361,"King_TAS",NA
"1124","BondTier","Eucalyptus Suppressed","Eucalyptus Suppressed",-1.09351325712339,-2.91796920247431,0.730942688227528,-1.1288638553467,-1.05816265890009,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",3.64891189070184,"King_TAS",NA
"1223","BondTier","Non-euc Suppressed","Eucalyptus Suppressed",0.177242522108952,-0.0623160094557613,0.416801053673665,0.171979304862606,0.182505739355298,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.479117063129426,"King_TAS",NA
"1621","BondTier","Non-euc Suppressed","Non-euc Suppressed",0.187338819893002,0.0806673243759421,0.294010315410061,0.172114200942705,0.202563438843298,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.213342991034119,"King_TAS",1
"172","Supersite","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.183192536118778,-0.515579057276984,0.149193985039428,-0.191650374978872,-0.174734697258684,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.664773042316412,"S_TAS",NA
"243","Supersite","Eucalyptus Intermediate","Eucalyptus Co/dominant",0.123105844000047,-0.145342724861993,0.391554412862087,0.116895191657896,0.129316496342198,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.53689713772408,"S_TAS",NA
"338","Supersite","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.414771845739936,-0.0659990233223138,0.895542714802185,0.403052630399815,0.426491061080056,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.961541738124499,"S_TAS",NA
"428","Supersite","Non-euc Co/dominant","Eucalyptus Co/dominant",-0.148717786135092,-0.352866793333741,0.0554312210635561,-0.153059063302478,-0.144376508967706,"Potential 1","Co/dominant","Co/dominant","Non-euc","Eucalyptus",0.408298014397297,"S_TAS",NA
"517","Supersite","Non-euc Intermediate","Eucalyptus Co/dominant",0.077939332277878,-0.0516276903579891,0.207506354913745,0.0732774483256137,0.0826012162301422,"Potential 1","Intermediate","Co/dominant","Non-euc","Eucalyptus",0.259134045271734,"S_TAS",NA
"633","Supersite","Non-euc Suppressed","Eucalyptus Co/dominant",0.0969039820288106,-0.0321986901039939,0.226006654161615,0.0923428589347495,0.101465105122872,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.258205344265609,"S_TAS",NA
"827","Supersite","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.043127882132673,-0.475090392122675,0.388834627857329,-0.0496081355711395,-0.0366476286942066,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.863925019980003,"S_TAS",NA
"917","Supersite","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.0981408247534881,-0.586030367536177,0.389748718029201,-0.106383863668149,-0.0898977858388276,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.975779085565378,"S_TAS",NA
"106","Supersite","Non-euc Co/dominant","Eucalyptus Intermediate",-0.241434729851195,-0.471855627560207,-0.0110138321421835,-0.244667865312757,-0.238201594389634,"Potential 1","Co/dominant","Intermediate","Non-euc","Eucalyptus",0.460841795418024,"S_TAS",1
"1125","Supersite","Non-euc Intermediate","Eucalyptus Intermediate",0.0451230245018127,-0.0948643679603047,0.18511041696393,0.0409007838357225,0.049345265167903,"Potential 1","Intermediate","Intermediate","Non-euc","Eucalyptus",0.279974784924235,"S_TAS",NA
"1224","Supersite","Non-euc Suppressed","Eucalyptus Intermediate",0.0307493384482654,-0.12090061316389,0.18239929006042,0.0263208192067915,0.0351778576897394,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.30329990322431,"S_TAS",NA
"1510","Supersite","Eucalyptus Suppressed","Eucalyptus Suppressed",-0.272064398677714,-1.15950991513477,0.615381117779345,-0.288300483389774,-0.255828313965653,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",1.77489103291412,"S_TAS",NA
"1622","Supersite","Non-euc Co/dominant","Eucalyptus Suppressed",-0.204903000632709,-0.649852995948545,0.240046994683127,-0.211518250417471,-0.198287750847947,"Potential 1","Co/dominant","Suppressed","Non-euc","Eucalyptus",0.889899990631672,"S_TAS",NA
"173","Supersite","Non-euc Intermediate","Eucalyptus Suppressed",-0.190307496270995,-0.417399393020755,0.0367844004787644,-0.19579405305087,-0.18482093949112,"Potential 1","Intermediate","Suppressed","Non-euc","Eucalyptus",0.454183793499519,"S_TAS",NA
"182","Supersite","Non-euc Suppressed","Eucalyptus Suppressed",0.163482989267445,-0.0630191556190013,0.389985134153892,0.156358666982668,0.170607311552223,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.453004289772894,"S_TAS",NA
"2210","Supersite","Non-euc Co/dominant","Non-euc Co/dominant",0.231440376990914,-0.0318769159464829,0.494757669928311,0.222929857006912,0.239950896974916,"Potential 1","Co/dominant","Co/dominant","Non-euc","Non-euc",0.526634585874794,"S_TAS",NA
"2310","Supersite","Non-euc Intermediate","Non-euc Co/dominant",-0.0527010212265142,-0.165767617349157,0.0603655748961287,-0.0563542521512649,-0.0490477903017634,"Potential 1","Intermediate","Co/dominant","Non-euc","Non-euc",0.226133192245286,"S_TAS",NA
"244","Supersite","Non-euc Suppressed","Non-euc Co/dominant",0.0739034901494864,-0.0295868959075045,0.177393876206477,0.0697173391514634,0.0780896411475095,"Potential 1","Suppressed","Co/dominant","Non-euc","Non-euc",0.206980772113982,"S_TAS",NA
"291","Supersite","Non-euc Intermediate","Non-euc Intermediate",0.219067886442361,0.0975920009225642,0.340543771962158,0.209878739526456,0.228257033358266,"Potential 1","Intermediate","Intermediate","Non-euc","Non-euc",0.242951771039594,"S_TAS",1
"301","Supersite","Non-euc Suppressed","Non-euc Intermediate",0.0557774675135382,-0.0182256135980238,0.1297805486251,0.051581642229738,0.0599732927973384,"Potential 1","Suppressed","Intermediate","Non-euc","Non-euc",0.148006162223124,"S_TAS",NA
"362","Supersite","Non-euc Suppressed","Non-euc Suppressed",0.292150676701609,0.190497025592018,0.3938043278112,0.28274927482701,0.301552078576208,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.203307302219182,"S_TAS",1
"174","Mackenzie","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.133472081594974,-0.43211235765109,0.165168194461142,-0.139212201362303,-0.127731961827646,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.597280552112232,"N_TAS",NA
"245","Mackenzie","Eucalyptus Intermediate","Eucalyptus Co/dominant",0.0260647741207354,-0.214092060799172,0.266221609040643,0.0219551862530267,0.0301743619884442,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.480313669839814,"N_TAS",NA
"339","Mackenzie","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.0969764074315106,-0.0318089076689689,0.22576172253199,0.0937485708875787,0.100204243975442,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.257570630200959,"N_TAS",NA
"429","Mackenzie","Non-euc Intermediate","Eucalyptus Co/dominant",0.050559164102659,-0.2952912733472,0.396409601552518,0.044869272792989,0.056249055412329,"Potential 1","Intermediate","Co/dominant","Non-euc","Eucalyptus",0.691700874899719,"N_TAS",NA
"518","Mackenzie","Non-euc Suppressed","Eucalyptus Co/dominant",0.0673544737180406,-0.0287041272052304,0.163413074641312,0.0645148833478126,0.0701940640882686,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.192117201846542,"N_TAS",NA
"726","Mackenzie","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.239490508403502,-0.603519747777657,0.124538730970653,-0.246646073515553,-0.23233494329145,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.72805847874831,"N_TAS",NA
"828","Mackenzie","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.0188631339857248,-0.134781983156584,0.0970557151851348,-0.0215316582128078,-0.0161946097586419,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.231837698341719,"N_TAS",NA
"918","Mackenzie","Non-euc Intermediate","Eucalyptus Intermediate",-0.340801671919713,-0.735015012254265,0.0534116684148397,-0.346558270828378,-0.335045073011047,"Potential 1","Intermediate","Intermediate","Non-euc","Eucalyptus",0.788426680669105,"N_TAS",NA
"107","Mackenzie","Non-euc Suppressed","Eucalyptus Intermediate",-0.0157237960207968,-0.115203740490482,0.0837561484488886,-0.0184893002899671,-0.0129582917516265,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.198959888939371,"N_TAS",NA
"1315","Mackenzie","Eucalyptus Suppressed","Eucalyptus Suppressed",0.21504671024468,0.0686855026036081,0.361407917885752,0.206025637838888,0.224067782650472,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.292722415282143,"N_TAS",1
"1414","Mackenzie","Non-euc Intermediate","Eucalyptus Suppressed",-0.0764264734583696,-0.242360365940962,0.0895074190242226,-0.0794056808418973,-0.0734472660748419,"Potential 1","Intermediate","Suppressed","Non-euc","Eucalyptus",0.331867784965184,"N_TAS",NA
"1511","Mackenzie","Non-euc Suppressed","Eucalyptus Suppressed",-0.0682800171930585,-0.1219570465481,-0.014602987838017,-0.071250395009964,-0.065309639376153,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.107354058710083,"N_TAS",1
"196","Mackenzie","Non-euc Intermediate","Non-euc Intermediate",-0.243272016418505,-1.04115632940294,0.554612296565929,-0.252406926721022,-0.234137106115989,"Potential 1","Intermediate","Intermediate","Non-euc","Non-euc",1.59576862596887,"N_TAS",NA
"205","Mackenzie","Non-euc Suppressed","Non-euc Intermediate",0.0412176915850955,-0.0896121910008044,0.172047574170995,0.0377327709670405,0.0447026122031505,"Potential 1","Suppressed","Intermediate","Non-euc","Non-euc",0.2616597651718,"N_TAS",NA
"256","Mackenzie","Non-euc Suppressed","Non-euc Suppressed",0.293501435878037,0.190620634752868,0.396382237003207,0.282830879069003,0.304171992687071,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.205761602250339,"N_TAS",1
"175","MtMaurice","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.283953607550256,-0.545867088457514,-0.0220401266429991,-0.293020183886763,-0.274887031213749,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.523826961814515,"Ben_TAS",1
"246","MtMaurice","Eucalyptus Intermediate","Eucalyptus Co/dominant",-0.112532579546478,-0.292855630536317,0.0677904714433611,-0.116345906892623,-0.108719252200333,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.360646101979678,"Ben_TAS",NA
"340","MtMaurice","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.00149625922577679,-0.10464605468704,0.107638573138594,-0.00233131708854349,0.00532383554009707,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.212284627825634,"Ben_TAS",NA
"430","MtMaurice","Non-euc Suppressed","Eucalyptus Co/dominant",-0.0387169171406876,-0.18419098782623,0.106757153544855,-0.0425418470223088,-0.0348919872590665,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.290948141371085,"Ben_TAS",NA
"634","MtMaurice","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.0681269427317575,-0.38862861639983,0.252374730936315,-0.0738396907044032,-0.0624141947591117,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.641003347336144,"Ben_TAS",NA
"727","MtMaurice","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.0158369377506774,-0.123307038879666,0.0916331633783115,-0.0190229858404275,-0.0126508896609274,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.214940202257978,"Ben_TAS",NA
"829","MtMaurice","Non-euc Suppressed","Eucalyptus Intermediate",0.0883288013663781,-0.0945945648518601,0.271252167584616,0.0838952036729818,0.0927623990597745,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.365846732436476,"Ben_TAS",NA
"1126","MtMaurice","Eucalyptus Suppressed","Eucalyptus Suppressed",0.242252438583756,0.12285828800943,0.361646589158081,0.231597306270839,0.252907570896672,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.238788301148651,"Ben_TAS",1
"1225","MtMaurice","Non-euc Suppressed","Eucalyptus Suppressed",0.118554439826945,0.0152111016910734,0.221897777962817,0.11332119605791,0.123787683595981,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.206686676271744,"Ben_TAS",1
"1623","MtMaurice","Non-euc Suppressed","Non-euc Suppressed",0.194953106991776,0.00951209048372753,0.380394123499824,0.186936301377806,0.202969912605746,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.370882033016096,"Ben_TAS",1
"176","BenRidge","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.379759376311015,-0.701852476933474,-0.0576662756885564,-0.390128960399689,-0.369389792222341,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.644186201244918,"Ben_TAS",1
"247","BenRidge","Eucalyptus Intermediate","Eucalyptus Co/dominant",0.174493676894031,-0.0699215102445121,0.418908864032575,0.168687616402489,0.180299737385573,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.488830374277087,"Ben_TAS",NA
"341","BenRidge","Eucalyptus Suppressed","Eucalyptus Co/dominant",-0.12194197190565,-0.216820727766288,-0.0270632160450109,-0.124909489110646,-0.118974454700653,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.189757511721277,"Ben_TAS",1
"431","BenRidge","Non-euc Intermediate","Eucalyptus Co/dominant",-0.247825248372795,-0.552853268739925,0.0572027719943346,-0.253391639221667,-0.242258857523924,"Potential 1","Intermediate","Co/dominant","Non-euc","Eucalyptus",0.610056040734259,"Ben_TAS",NA
"519","BenRidge","Non-euc Suppressed","Eucalyptus Co/dominant",0.051034088094507,-0.0448706841107876,0.146938860299802,0.0485575756227379,0.053510600566276,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.191809544410589,"Ben_TAS",NA
"728","BenRidge","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.22493876766178,-0.715325451830737,0.265447916507177,-0.233648177386788,-0.216229357936772,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.980773368337913,"Ben_TAS",NA
"830","BenRidge","Eucalyptus Suppressed","Eucalyptus Intermediate",0.0879025946744052,-0.0322237618547369,0.208028951203547,0.0849208615568451,0.0908843277919653,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.240252713058284,"Ben_TAS",NA
"919","BenRidge","Non-euc Intermediate","Eucalyptus Intermediate",0.183881078705703,-0.254128347411772,0.621890504823179,0.175427442650822,0.192334714760585,"Potential 1","Intermediate","Intermediate","Non-euc","Eucalyptus",0.876018852234951,"Ben_TAS",NA
"108","BenRidge","Non-euc Suppressed","Eucalyptus Intermediate",-0.0753893544658635,-0.163614996978358,0.0128362880466312,-0.0774937926153064,-0.0732849163164207,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.176451285024989,"Ben_TAS",NA
"1316","BenRidge","Eucalyptus Suppressed","Eucalyptus Suppressed",0.249626837206912,0.134725116976827,0.364528557436996,0.239819579785954,0.259434094627869,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.229803440460169,"Ben_TAS",1
"1415","BenRidge","Non-euc Intermediate","Eucalyptus Suppressed",-0.0367264931920541,-0.153251203486397,0.0797982171022887,-0.0398101485590477,-0.0336428378250605,"Potential 1","Intermediate","Suppressed","Non-euc","Eucalyptus",0.233049420588686,"Ben_TAS",NA
"1512","BenRidge","Non-euc Suppressed","Eucalyptus Suppressed",-0.0170215253104325,-0.0544505776820015,0.0204075270611366,-0.0192591878016219,-0.014783862819243,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.074858104743138,"Ben_TAS",NA
"197","BenRidge","Non-euc Intermediate","Non-euc Intermediate",0.371980302237486,-0.139340752811524,0.883301357286495,0.356923703203529,0.387036901271442,"Potential 1","Intermediate","Intermediate","Non-euc","Non-euc",1.02264211009802,"Ben_TAS",NA
