"","...1","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_from","class_to","class_int","species_from","species_to","which_species","group","int","se","sig","lo","hi","range_ci"
"16",16,"Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.398008979882339,0.251061195860237,0.100721957865607,0.193239720171355,0.250086347841899,0.313947196156133,0.491695689334453,"Collins","large","large","large_large","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_large","Eucalyptus diversicolor large_Eucalyptus diversicolor large",0.213853937737893,NA,-0.810779647697897,0.0275123841387861,0.838292031836683
"17",17,"Eucalyptus diversicolor large","Eucalyptus diversicolor small",-0.041326951891652,0.854014712521211,0.813024384235619,0.833615311057335,0.853987889063172,0.868456854518647,0.915596772507612,"Collins","large","small","large_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_small","Eucalyptus diversicolor large_Eucalyptus diversicolor small",0.0910398849175153,NA,-0.218717012780864,0.138152778409139,0.356869791190003
"18",18,"Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.332072714513985,8.2900090020842,1.92814040332839,5.125429072315,6.9492059856295,9.43020616778928,23.1457162404858,"Collins","small","small","small_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_small_small","Eucalyptus diversicolor small_Eucalyptus diversicolor small",0.0735058272583785,1,0.185598328065147,0.473735876225636,0.288137548160489
"19",19,"Allocasuarina decussata large","Allocasuarina decussata large",0.00380271292745793,0.976825603080948,0.966453978287216,0.971376739757,0.977321800636819,0.981640640960698,0.990320828246833,"Clare","large","large","large_large","Allocasuarina decussata","Allocasuarina decussata","within","within_species_large_large","Allocasuarina decussata large_Allocasuarina decussata large",0.231218545855233,NA,-0.450795319365647,0.455564725502312,0.906360044867959
"20",20,"Allocasuarina decussata small","Allocasuarina decussata large",0.0430755086427046,1.29070800986017,1.11589624539429,1.17487514972365,1.28972537355304,1.38376956184615,1.53374732673409,"Clare","small","large","large_small","Allocasuarina decussata","Allocasuarina decussata","within","within_species_large_small","Allocasuarina decussata small_Allocasuarina decussata large",0.107407434708118,NA,-0.165281169660277,0.255748237739222,0.421029407399499
"21",21,"Allocasuarina decussata small","Allocasuarina decussata small",0.210973176478871,2.984259406273,1.18773746124686,1.85544582761624,2.14727327167302,3.69038796544094,6.8763782837893,"Clare","small","small","small_small","Allocasuarina decussata","Allocasuarina decussata","within","within_species_small_small","Allocasuarina decussata small_Allocasuarina decussata small",0.0719011203444135,1,0.0743476432984941,0.356194855944755,0.281847212646261
"22",22,"Acacia melanoxylon small","Eucalyptus diversicolor small",-0.114760931033025,0.868950884952713,0.353025376235479,0.832725365831873,0.911409553965121,0.940470651834509,0.973744241561532,"Sutton","small","small","small_small","Acacia melanoxylon","Eucalyptus diversicolor","between","between_species_small_small","Acacia melanoxylon small_Eucalyptus diversicolor small",0.062962182597976,NA,-0.236784093247114,0.0100231273130214,0.246807220560135
"23",23,"Corymbia calophylla small","Eucalyptus diversicolor small",-0.0757617876496136,0.846573476748766,0.224629120347747,0.825022886480507,0.928591528153812,0.970921881609349,0.99536990538026,"Sutton","small","small","small_small","Corymbia calophylla","Eucalyptus diversicolor","between","between_species_small_small","Corymbia calophylla small_Eucalyptus diversicolor small",0.0241625159275575,1,-0.122374901717941,-0.0276595797301648,0.0947153219877763
"24",24,"Eucalyptus diversicolor large","Eucalyptus diversicolor small",-0.0607190055211925,0.767342864736873,0.561582184931639,0.709467719738101,0.756572027383112,0.833501910976301,0.948934577876852,"Sutton","large","small","large_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_small","Eucalyptus diversicolor large_Eucalyptus diversicolor small",0.0527257165334342,NA,-0.165930339086918,0.04075067184228,0.206681010929198
"25",25,"Acacia melanoxylon small","Eucalyptus diversicolor large",-0.0564463139029906,0.920408790429691,0.471524801547859,0.912856934861083,0.965575695533126,0.979440673134514,0.99115168738297,"Sutton","small","large","large_small","Acacia melanoxylon","Eucalyptus diversicolor","between","between_species_large_small","Acacia melanoxylon small_Eucalyptus diversicolor large",0.0652043888656778,NA,-0.184187822227261,0.0714086853940853,0.255596507621346
