"","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site"
"572","Acacia melanoxylon small","Eucalyptus grandis large",0.162423352855921,2.11964893218559,1.05732755422654,1.25365138611748,1.81076240594005,2.67438489655173,4.79165143845077,"Herberton"
"573","Acacia melanoxylon small","Acacia melanoxylon small",0.383225277576206,2.76029064657758,0.965315554616139,1.91241300531556,2.26728329609329,3.32252520654283,7.26202045664535,"Herberton"
"574","Eucalyptus grandis large","Allocasuarina torulosa large",-0.0836127156852506,0.739400752992619,0.564222688467841,0.68571815374246,0.744168430191287,0.803841362587565,0.889554604397073,"Lamb Range"
"575","Eucalyptus grandis small","Allocasuarina torulosa large",-0.070356860097818,0.745128757330539,0.533828008616657,0.680106111437925,0.742082725872237,0.820886259569217,0.906570024963216,"Lamb Range"
"576","Eucalyptus grandis small","Allocasuarina torulosa small",-0.0473619419990667,0.831705271516766,0.652483484013065,0.78930169217165,0.842751239854492,0.88003433390036,0.96066371028819,"Lamb Range"
"577","Allocasuarina torulosa small","Eucalyptus grandis large",0.00367882320187838,1.02688654548025,1.00687956589867,1.01974489559806,1.02536704498094,1.03305153568021,1.04587591060891,"Lamb Range"
"578","Allocasuarina torulosa large","Allocasuarina torulosa large",0.014566746032792,1.1026261738969,0.98367812861049,1.05790510641319,1.09373210436625,1.11566231380524,1.26919415249882,"Lamb Range"
"579","Eucalyptus grandis large","Eucalyptus grandis large",0.0147229745609378,1.24057600933373,1.0454728425567,1.16514560156538,1.22783909648943,1.30992739054744,1.43398568716757,"Lamb Range"
"580","Eucalyptus grandis small","Eucalyptus grandis large",0.0361294644834951,1.20653347039098,1.03169681524681,1.16216343523951,1.22032207750704,1.25848232986238,1.42607520931127,"Lamb Range"
"581","Allocasuarina torulosa small","Allocasuarina torulosa large",0.0746336234903267,1.67874309298016,1.12174440078605,1.43594169490107,1.62662424384421,1.90073081109206,2.2505668007047,"Lamb Range"
"582","Allocasuarina torulosa small","Allocasuarina torulosa small",0.17941263595506,2.56084325766256,1.11687287651781,2.33612596014521,2.58366320074152,2.86374333953014,3.57727382111847,"Lamb Range"
"583","Eucalyptus grandis small","Eucalyptus grandis small",0.360122823425987,17.5169767723458,2.27234355397642,8.20089258574551,15.4374412913376,26.2983724250426,41.2052555552043,"Lamb Range"
"584","Eucalyptus grandis small","Eucalyptus grandis small",-0.150783943146051,0.399610966693294,0.175947942509565,0.24932140596803,0.349062059066268,0.535175350254674,0.903822834540667,"Baldy"
"585","Allocasuarina torulosa small","Eucalyptus grandis large",-0.118099954446636,0.758039041966768,0.294886523351853,0.493566573761642,0.873360937398071,0.960774756391067,0.979096348076154,"Baldy"
